ID,Headline,Description,Publication Date,Source,Semi-Strong,Strong,Weak
95,"the last, unfulfilled dream of jamie dimon, king of wall street","the boss of jpmorgan talks to the economist about recession, china and what he does next",11/07/2023,Economist,0,0,0
96,the fight over working from home goes global,employees want to toil in the kitchen. bosses want them back in the office,10/07/2023,Economist,1,0,0
97,how white-collar warriors gear up for the day,achilles goes to the office,06/07/2023,Economist,1,0,0
98,a lego-lover__ guide to preparing for the ai age,"how to transform companies for the digital era, brick by pixel",06/07/2023,Economist,1,0,0
99,the musk-zuckerberg social-media smackdown,"with threads, a copycat app, meta hopes to capitalise on twitter__ travails",04/07/2023,Economist,1,0,0
100,"in its tech war with america, china brings out the big guns",chinese officials restrict exports of critical chip metals,04/07/2023,Economist,1,0,0
106,south korea__ government and business are over-close,a court case reveals just how cosy,29/06/2023,Economist,1,0,0
109,america__ plan to vet investments into china,"citing national security, america__ government considers tighter rules on outbound capital",22/06/2023,Economist,1,0,0
110,why is china blocking graphite exports to sweden?,its motive may be more commercial than political,22/06/2023,Economist,1,0,0
112,india leads a boom in orders for passenger jets,but can manufacturers make them in time? and will the clients still be around to receive them?,22/06/2023,Economist,1,0,0
120,it is make or break for intel__ giant bet on germany,the american chipmaker__ capital spending would constitute the biggest foreign direct investment in german history,15/06/2023,Economist,1,0,0
121,oracle is making larry ellison the world__ third-richest man,can the software giant__ winning streak last?,13/06/2023,Economist,1,0,0
123,is doing business in china becoming impossible for foreigners?,selective enforcement of draconian data and spying laws is scaring western companies,11/06/2023,Economist,1,0,0
124,what tim__ mega-spin-off reveals about europe__ telecoms industry,splitting operators_ business units could be the first step to consolidation,08/06/2023,Economist,1,0,0
128,why sequoia capital is sawing off its chinese branch,"china is becoming too hot to handle, even for a giant of venture investing",08/06/2023,Economist,0,1,0
129,the pga agrees to team up with its golfing arch-enemy,saudi arabia buys membership of golf__ most exclusive club,07/06/2023,Economist,1,0,0
130,generative ai could radically alter the practice of law,even if it doesn__ replace lawyers en masse,06/06/2023,Economist,1,0,0
134,go first__ insolvency tests india__ bankruptcy regime,a law meant to speed up going broke needs its own restructuring,01/06/2023,Economist,0,0,0
138,nvidia is not the only firm cashing in on the ai gold rush,selling specialist chips and infrastructure is becoming a trillion-dollar industry,29/05/2023,Economist,0,0,0
139,it will take years to get deutsche bahn back on track,europe__ biggest rail operator has gone off the rails,25/05/2023,Economist,1,0,0
141,asian businesses are being dragged into the chip war,now south korean manufacturers find themselves in a tricky spot,25/05/2023,Economist,1,0,0
142,why activist investors are going to have a busy year,"if you think they have gone soft, think again",25/05/2023,Economist,0,0,1
146,can carbon removal become a trillion-dollar business?,quite possibly__nd not before time,21/05/2023,Economist,1,0,0
150,the wind-turbine industry should be booming. why isn__ it?,stiff competition has combined with rising costs and other burdens,18/05/2023,Economist,0,0,1
151,businesses are in for a mighty debt hangover,it will be painful both for investors and the economy,16/05/2023,Economist,1,0,0
152,the aviation industry wants to be net zero__ut not yet,the technology and economics of planemaking make decarbonisation incredibly hard,14/05/2023,Economist,1,0,0
153,why chinese carmakers are eyeing thailand,south-east asia offers an appealing route to foreign expansion,11/05/2023,Economist,1,0,0
155,how fast can european steelmakers decarbonise?,one of europe__ dirtiest industries has ambitious plans to go green,11/05/2023,Economist,0,0,0
159,why mercadolibre keeps soaring as other e-emporiums sink,a combination of local knowledge and focus explain the firm__ success,04/05/2023,Economist,1,0,0
162,artificial intelligence is remixing journalism into a __oup_ of language,the rise of the robot reporter implies profound changes to the nature of the news,04/05/2023,Economist,1,0,0
163,china__ data-security laws rattle western business executives,authorities go after foreign companies for hazily defined data transgressions,04/05/2023,Economist,0,1,0
164,america needs a jab in its corporate backside,pfizer offers lessons in how to cope with paralysis over m&a and china,03/05/2023,Economist,0,0,0
166,is mining set for a new wave of mega-mergers?,dealmaking is the new digging,27/04/2023,Economist,1,0,0
167,the conundrum of germany__ business ties with china,europe__ largest economy may be less dependent on china than generally assumed,27/04/2023,Economist,0,0,0
170,how to make it big in xi jinping__ china,we crunch the numbers on the country__ most valuable startups,24/04/2023,Economist,1,0,0
172,uniqlo__ success mirrors the growth of japan__ industrial giants,automation and expansion go hand in hand,20/04/2023,Economist,1,0,0
173,why apple is betting big on india,the country is a growing consumer__nd producer__f apple__ gadgets,20/04/2023,Economist,0,0,1
174,big pharma__ patent cliff is fast approaching,a flurry of deals suggests that drug firms favour buying their way out of trouble,20/04/2023,Economist,1,0,0
175,why crashing lithium prices will not make electric cars cheaper,the race to secure enough of the battery metal is just getting started,20/04/2023,Economist,1,0,0
177,how businesses are experimenting with chatgpt-like services,"in time, the approach may yield dividends",19/04/2023,Economist,1,0,0
178,"why ey and its rivals may eventually break up, after all",the commercial logic for splitting up the big four is only getting stronger,16/04/2023,Economist,1,0,0
180,the tug-of-war between glencore and teck,it is mining__ dilemma in a nutshell,13/04/2023,Economist,1,0,0
181,indonesia__ nickel boom tests western green sensibilities,making batteries for electric vehicles requires environmental and geopolitical trade-offs,13/04/2023,Economist,1,0,0
184,"bytedance, tiktok__ chinese parent, reports a record profit",just wait until the west__ favourite short-video app starts making money,13/04/2023,Economist,1,0,0
185,america__ $800bn climate splurge is feeding a new lobbying ecosystem,a new breed of advisers is helping corporate supplicants get their share,10/04/2023,Economist,1,0,0
189,how ai could disrupt video-gaming,gamemaking is especially laborious__nd especially ripe for automation,05/04/2023,Economist,1,0,0
193,copper is the missing ingredient of the energy transition,where on earth will it be found?,30/03/2023,Economist,1,0,0
194,alibaba breaks itself up in six,investors cheer the move as signalling the end of china__ tech crackdown,30/03/2023,Economist,1,0,0
195,the market for picassos may be about to turn,"after a long bull run, the man and the artist are being re-evaluated",30/03/2023,Economist,1,0,0
198,big tech and the pursuit of ai dominance,the tech giants are going all in on artificial intelligence. each is doing it its own way,26/03/2023,Economist,1,0,0
199,what barbie tells you about near-shoring,supply chains are neither global nor local. they are both,23/03/2023,Economist,0,0,0
203,india loosens restrictions on foreign lawyers,for real this time?,23/03/2023,Economist,1,0,0
205,how tiktok broke social media,"whether or not it is banned, the app has forced its rivals to adopt a less lucrative model",21/03/2023,Economist,1,0,0
208,shareholders have high hopes for bayer__ new boss,bill anderson has two qualifications for the job. he knows pharma. and he is american,16/03/2023,Economist,1,0,0
211,a battle royal is brewing over copyright and ai,beware the napster precedent,15/03/2023,Economist,1,0,0
215,how china inc is tackling the tiktok problem,a ceo__ guide to doing business amid anti-chinese sentiment,07/03/2023,Economist,1,0,0
216,don__ fear an ai-induced jobs apocalypse just yet,"the west suffers from too little automation, not too much",06/03/2023,Economist,0,0,1
218,the uses and abuses of hype,how excitement can help and hinder entrepreneurs,02/03/2023,Economist,1,0,0
219,artificial intelligence is reaching behind newspaper paywalls,publishers long accused tech firms of profiting from their content. now they have a point,02/03/2023,Economist,1,0,0
223,how the titans of tech investing are staying warm over the vc winter,venture capital__ bruised whales are rethinking their strategies,26/02/2023,Economist,1,0,0
224,demands on corporate boards are more intense than ever,and filling board seats has never been harder,23/02/2023,Economist,1,0,0
228,facebook sells subscriptions as the ad business stumbles,meta joins twitter and snap in introducing a paid tier,22/02/2023,Economist,1,0,0
230,global firms are eyeing asian alternatives to chinese manufacturing,can __ltasia_ steal china__ thunder?,20/02/2023,Economist,1,0,0
233,bob iger makes big changes at disney,they are not the end of the story,16/02/2023,Economist,1,0,0
234,ai-wielding tech firms are giving a new shape to modern warfare,ukraine is a testing ground for companies like anduril and palantir,16/02/2023,Economist,0,0,0
235,corporate intrigue at the heart of k-pop,a takeover battle sheds light on the industry__ unusual vertical integration,16/02/2023,Economist,1,0,0
236,what european business makes of the green-subsidy race,a lesson from america__ inflation reduction act is that size isn__ everything,14/02/2023,Economist,1,0,0
237,what tencent__ rebound says about prospects for china__ big tech,a once unstoppable sector is getting used to a new normal,,Economist,1,0,0
238,what would joseph schumpeter have made of apple?,the iphone maker shows the many sides of creative destruction,09/02/2023,Economist,1,0,0
239,the pitfalls of loving your job a little too much,the fashion for passion,09/02/2023,Economist,0,0,0
241,is google__ 20-year dominance of search in peril?,chatgpt-like tools could disrupt a lucrative business,08/02/2023,Economist,1,0,0
244,an alliance between renault and nissan gets a reboot,both sides should be happier now,02/02/2023,Economist,1,0,0
249,the race of the ai labs heats up,chatgpt is not the only game in town,30/01/2023,Economist,1,0,0
251,elliott and fellow activist investors take on big tech,languishing silicon valley stocks attract wall street__ mischief-makers,26/01/2023,Economist,1,0,0
255,how will satya nadella handle microsoft__ chatgpt moment?,he has spent a career trying to return microsoft to the pinnacle of tech,25/01/2023,Economist,1,0,0
257,tsmc is making the best of a bad geopolitical situation,"speak softly, and carry a big chip",19/01/2023,Economist,1,0,0
258,china__ tech crackdown starts to ease,firms can breathe more easily,19/01/2023,Economist,0,0,0
259,mexico__ electric-car ambitions,can the country make the most of the battery-powered revolution?,19/01/2023,Economist,1,0,0
264,the priciest cars are selling fast,rolls-royce and ferrari are at full throttle,12/01/2023,Economist,1,0,0
265,german companies fret about a new supply-chain law,monitoring human-rights and environmental standards across their suppliers could have perverse consequences,12/01/2023,Economist,1,0,0
269,how technology is redrawing the boundaries of the firm,companies are reorganising themselves in the wake of digital upheaval,08/01/2023,Economist,0,0,0
272,"investors conclude that tesla is a carmaker, not a tech firm",a share-price rout suggests they no longer think it will take over the world,04/01/2023,Economist,0,0,1
277,airlines are closing in on their pre-covid heights,but a cold winter could dent longer-term optimism,20/12/2022,Economist,1,0,0
278,america tries to nobble china__ tech industry. again,"despite a thaw in some areas, sino-american business relations feel frosty",20/12/2022,Economist,1,0,0
279,how to make the most of linkedin,a guide to surviving and thriving on the business world__ favourite social network,20/12/2022,Economist,1,0,0
280,why the gulf__ oil powers are betting on clean energy,"aramco, adnoc and others are placing multibillion-dollar wagers on the energy transition",19/12/2022,Economist,0,0,0
284,america__ biggest ports face a new kind of paralysis,"rather than too much cargo as last year, ships are now bringing in too little",15/12/2022,Economist,0,0,0
285,big tech pushes further into finance,the move may upset regulators__nd their own customers,15/12/2022,Economist,1,0,0
289,the rise of the super-app,the race to build a do-everything platform heats up,08/12/2022,Economist,1,0,0
290,how good is chatgpt?,an experiment in the boundaries of ai,08/12/2022,Economist,0,0,1
291,what next for china__ covid-industrial complex?,relaxation of the rules is a threat to pandemic profits,08/12/2022,Economist,1,0,0
292,artificial intelligence is permeating business at last,the age of __oring ai_ will be anything but,06/12/2022,Economist,1,0,0
294,meet the man who may decide the fate of german industry,"klaus müller should have been an anonymous bureaucrat, but he__ become a celebrity",01/12/2022,Economist,1,0,0
297,"microsoft, activision blizzard and the future of gaming",the shift towards subscriptions and streaming complicates a giant merger,29/11/2022,Economist,1,0,0
298,the new winners and losers in business,which american companies have thrived or dived in a testing economy?,27/11/2022,Economist,0,0,1
299,multinational firms are finding it hard to let go of china,"should companies divest, decouple__r double-down?",24/11/2022,Economist,1,0,0
302,how to do lay-offs right,that means thinking primarily about the people who are left behind,24/11/2022,Economist,1,0,0
303,what disney can learn from elton john,the firm__ celebrity ceo isn__ the only superstar boss who won__ leave the stage,23/11/2022,Economist,0,0,0
304,amazon makes a new push into health care,it might be its riskiest business venture yet,20/11/2022,Economist,1,0,0
305,management lessons from the next world cup winners,never mind that the tournament hasn__ started yet,17/11/2022,Economist,1,0,0
307,india__ hospitality workers head to the world cup,jobs serving football fans are drawing them there,17/11/2022,Economist,1,0,0
308,alternatives to twitter see an influx of users,are any a suitable substitute?,17/11/2022,Economist,1,0,0
309,ftx__ failure and softbank__ struggles point to a tech investing hangover,"after the turbocharged years, problems may be emerging for venture capitalists",17/11/2022,Economist,0,0,1
310,the race to reinvent the car industry,can carmakers catch up with tesla and pull off the shift to software?,14/11/2022,Economist,1,0,0
312,the sportswear giants are running into hurdles,misbehaving rappers are not the only problem,10/11/2022,Economist,1,0,0
313,a series of shortages threatens eu supply chains,lorries cannot run without adblue. or without drivers,10/11/2022,Economist,1,0,0
314,can american liquefied natural gas rescue europe?,"eventually, yes. but first a few obstacles must be overcome",10/11/2022,Economist,1,0,0
315,the un takes on corporate greenwashing,will companies__nd governments__isten?,10/11/2022,Economist,1,0,0
316,"even with political gridlock, america inc should still fear the bossy state",beware the power of one-party state governments,09/11/2022,Economist,1,0,0
317,a sleuth__ guide to the coming wave of corporate fraud,mischief is cyclical__t is bred in good times and uncovered in bad times,07/11/2022,Economist,0,0,1
318,elon musk__ challenge to management thinking,"if the billionaire succeeds at twitter, the mba will need an update",07/11/2022,Economist,0,0,1
319,how to think about gamification,"the world of badges, streaks and leaderboards",03/11/2022,Economist,1,0,0
321,what big tech and buy-out barons have in common with ge,"unaccountable bosses, declining returns on capital and fed-up investors",03/11/2022,Economist,1,0,1
322,fosun__ big asset sale marks the end of an era in chinese business,the sprawling group is offloading many of its prize investments,03/11/2022,Economist,1,0,0
323,will people pay $8 a month for twitter?,elon musk swaps ads for subscriptions,03/11/2022,Economist,1,0,0
324,olaf scholz leads a blue-chip business delegation to china,german industry has been strangely reluctant to reduce its dependence,02/11/2022,Economist,1,0,0
325,"what went wrong with snap, netflix and uber?","despite superficial differences, digital darlings_ business models rest on the same shaky pillars",31/10/2022,Economist,1,0,0
329,can huawei thrive despite american sanctions?,"ren zhengfei, its boss, has big plans",25/10/2022,Economist,1,0,0
330,the end of apple__ affair with china,"covid-19, costs and geopolitics are driving the iphone-maker to manufacture and sell its gadgets elsewhere",24/10/2022,Economist,1,0,0
331,how much trouble is mark zuckerberg in?,"as facebook fades, meta hopes for success in another dimension",21/10/2022,Economist,0,0,0
333,when bosses walk in employees_ shoes,it is hard for managers to understand what life is like for staff. but not impossible,20/10/2022,Economist,0,0,1
339,deutsche bahn is hit by suspected sabotage,the incident piles more woe onto europe__ biggest railway,13/10/2022,Economist,0,1,0
340,chinese marques try to make inroads into western markets,second time lucky?,13/10/2022,Economist,1,0,0
342,will elon musk-owned twitter end up as a __eal from hell_?,everything app. or nothingburger,11/10/2022,Economist,1,0,0
343,have profits peaked at american businesses?,the forces which fuelled a decades-long rise in corporate earnings are petering out__r going into reverse,09/10/2022,Economist,1,0,0
344,the cloud is the fiercest front in the chip wars,data-centre chips were once a stale monopoly. now the business is brimming with competition,06/10/2022,Economist,1,0,0
345,fashion gets a modern makeover,"a $700bn industry flirts with new materials, new countries__nd new clients",06/10/2022,Economist,1,0,0
346,"rwe, germany__ biggest power company, is going green",but are its plans ambitious enough?,06/10/2022,Economist,0,0,0
347,the magic formula of management,"five numbers, one connecting idea",06/10/2022,Economist,1,0,0
348,elon musk is buying twitter. really. probably,"the reluctant suitor avoids a trial, but inherits a world of commercial and legal woes",05/10/2022,Economist,1,0,0
349,where next for management__ consiglieri?,forget the scandals. mckinsey and its peers are more powerful than ever,04/10/2022,Economist,1,0,0
351,what italian business makes of giorgia meloni,bosses are gearing up to work with the right-wing government,29/09/2022,Economist,1,0,0
352,can larry fink survive the esg culture wars?,between blackrock and a hard place,29/09/2022,Economist,1,0,0
353,matrimony is one of india__ biggest businesses,the wedding industry is a marriage of everything,29/09/2022,Economist,1,0,0
355,why some chipmakers are hurting much more than others,tsmc and samsung illustrate the industry__ diverging fortunes,29/09/2022,Economist,1,0,0
356,a reckoning has begun for corporate debt monsters,"as rates rise, how messy will the squeeze on business get?",27/09/2022,Economist,1,0,0
357,is the warehouse business recession-proof?,nothing seems able to halt the big-box boom,22/09/2022,Economist,0,0,1
359,porsche goes to market,the german carmaker loosens ties with volkswagen,22/09/2022,Economist,1,0,0
361,can europe decarbonise its heavy industry?,"yes, though it won__ be easy",19/09/2022,Economist,0,0,0
362,the $300bn google-meta advertising duopoly is under attack,the pair face a weak economy and powerful new rivals,18/09/2022,Economist,1,0,0
364,the rise of the borderless trustbuster,corporate dealmakers face a formidable foe. it isn__ lina khan,15/09/2022,Economist,1,0,0
366,makers of monkeypox drugs face a rash of orders,defeating a worldwide outbreaks falls on two small drugmakers,15/09/2022,Economist,1,0,0
371,some european power companies are on the brink,others are on a high,08/09/2022,Economist,1,0,0
372,the ugly truth about young beauty brands_ business model,they have a thing or two to learn from their mature rivals,08/09/2022,Economist,1,0,0
373,why economists are flocking to silicon valley,and why big tech wants them,07/09/2022,Economist,1,0,0
374,why businesses are furiously hiring even as a downturn looms,a shake-up in the labour market gives the upper hand to job applicants,05/09/2022,Economist,1,0,0
375,adani v ambani: the battle of the tycoons,the commanding heights of india__ economy are up for grabs,01/09/2022,Economist,1,0,0
377,a dispute over covid-vaccine technology ends up in court,moderna takes on pfizer and biontech,01/09/2022,Economist,1,0,0
379,the cloud computing giants are vying to protect fat profits,"amazon, google and microsoft are offering higher-end, stickier services",29/08/2022,Economist,1,0,0
380,a tidal wave of returns hits the e-commerce industry,for retailers it is a tricky and expensive problem,25/08/2022,Economist,1,0,1
381,could the demonised oil industry become a force for decarbonisation?,that may be what warren buffett sees in occidental petroleum,25/08/2022,Economist,1,0,0
390,"for business, water scarcity is where climate change hits home","it brings material risks, regulatory overreach and reputational damage",17/08/2022,Economist,1,0,0
391,republicans are falling out of love with america inc,that heralds risks for big business__nd change for american capitalism,15/08/2022,Economist,1,0,0
392,could the ev boom run out of juice before it really gets going?,"quite possibly, for want of batteries",14/08/2022,Economist,1,0,0
393,tencent is a success story bedevilled by the splinternet,"wechat, they snoop, no one wins",11/08/2022,Economist,1,0,1
396,can tech reshape the pentagon?,"after a long break-up, silicon valley and the military-industrial complex are getting back together",08/08/2022,Economist,1,0,0
400,volkswagen__ new boss faces some enduring challenges,can oliver blume do better than herbert diess?,28/07/2022,Economist,1,0,0
401,the spirit deal is a missed opportunity for creative destruction,"the airline agrees to sell itself to jetblue, despite antitrust fears",28/07/2022,Economist,1,0,0
402,the online-ad industry is being shaken up,a years-long bonanza is giving way to more uncertain times,28/07/2022,Economist,1,0,0
408,can watershed corner the market for carbon accounting?,the climate-software startup is all the rage in silicon valley,21/07/2022,Economist,1,0,0
411,the man with a plan to fix eskom,andre de ruyter wants to overhaul south africa__ power utility. if only the government lets him,14/07/2022,Economist,1,0,0
412,can deutschland ag cope with the russian gas shock?,"probably yes in the short term. in the longer run, german business will need to adapt",14/07/2022,Economist,0,0,0
415,"with or without elon musk, twitter is overdue a shake-up",behind a stagnation in users lies a stagnating product,11/07/2022,Economist,1,0,0
417,"what does the future hold for reliance, india__ biggest firm?",is it on the verge of a break-up?,07/07/2022,Economist,0,0,1
420,reading corporate culture from the outside,it is becoming a bit easier to peer inside firms,07/07/2022,Economist,1,0,0
423,mars inc gets the purpose v profit balance right,"showy corporations should learn from the low-key, family-owned mammal-feeder",30/06/2022,Economist,1,0,0
424,japanese energy firms cling on to their russian assets,that puts them in line with japan__ government but at odds with the west,30/06/2022,Economist,1,0,0
425,the pandemic is boosting sellers of traditional medicine,"whether or not they work, herbal remedies are a healthy business",30/06/2022,Economist,1,0,0
426,the great silicon valley shake-out,"we look at the world__ startups and identify the safe, the uneasy and the doomed",28/06/2022,Economist,1,0,0
428,a billionaire wants to shake up america__ drugs market,"mark cuban, entrepreneur and __hark tank_ judge, is not alone in trying to bring down the cost of medicines",23/06/2022,Economist,0,0,0
431,why managers deserve more understanding,"don__ overdo the sympathy, but the job is both necessary and demanding",23/06/2022,Economist,1,0,0
432,why everyone wants arm,the british chip designer__ modest size belies its central role in the digital revolution,22/06/2022,Economist,1,0,0
433,alphabet is spending billions to become a force in health care,can it finally shake up the stodgy multi-trillion-dollar industry?,20/06/2022,Economist,1,0,0
435,how modern executives are different from their forebears,"they need to work harder at more tasks, and to deploy softer skills",16/06/2022,Economist,1,0,0
436,amazon has a rest-of-the-world problem,the everything store now has too much of everything,16/06/2022,Economist,1,0,0
438,how supply-chain turmoil is remaking the car industry,learning from elon musk,12/06/2022,Economist,1,0,0
439,the communist party resuscitates didi global,will investors forget about its near-death experience?,09/06/2022,Economist,1,0,0
440,air travel is taking flight again,headwinds still threaten the recovery,09/06/2022,Economist,0,0,1
441,fast fashion is in party mode,next up: the inevitable hangover,09/06/2022,Economist,1,0,0
446,is big tech__ red-hot jobs market about to cool?,the industry__ giants are slowing their hiring,02/06/2022,Economist,1,0,0
447,"__op gun_ flies high, sparking hopes of a theatrical recovery",will a summer of blockbusters prise consumers off the sofa?,02/06/2022,Economist,0,0,0
448,why proxy advisers are losing their power,the golden age for iss and glass lewis is over,02/06/2022,Economist,1,0,0
451,"sheryl sandberg, meta__ second-in-command, leaves the embattled firm",could the move foreshadow an even greater shift towards virtual reality?,02/06/2022,Economist,1,0,0
452,corporate espionage is entering a new era,companies need to take it more seriously,30/05/2022,Economist,1,0,1
453,will a chipmaking giant__ $60bn bet on software pay off?,cultural clashes and trustbusters could get in the way,26/05/2022,Economist,1,0,0
455,basf__ plan to wean itself off cheap russian gas comes with pitfalls,the german chemicals giant is turning towards china,26/05/2022,Economist,1,1,0
456,the power of small gestures,small acts of appreciation can delight employees. but they are not meant to be industrialised,26/05/2022,Economist,1,0,0
457,plant-based proteins are no longer a side dish in diets,their makers_ place as the main course is another matter,25/05/2022,Economist,1,0,0
458,the recipe for the outperformance of swiss businesses,common sense and low taxes make the alpine nation a corporate haven,23/05/2022,Economist,1,0,0
459,making brainstorming better,let__ pour some thought bubbles into the ideas jacuzzi,19/05/2022,Economist,1,0,0
460,"spacs raised billions. as mergers dry up, we follow the money",it hasn__ gone where you think,19/05/2022,Economist,1,0,0
463,shares in america__ big retailers swoon,rising costs catch up with walmart and target,19/05/2022,Economist,0,0,0
464,"elon musk, twitter and an epic case of buyer__ remorse",the world__ richest man haggles for a discount,19/05/2022,Economist,1,0,0
465,"after a bruising year, softbank braces for more pain",the japanese investment group is global tech in a nutshell,16/05/2022,Economist,1,1,0
466,welcome to the era of the hyper-surveilled office,the big brotherly boss will see you now__nd always,,Economist,1,0,0
467,coupang__ high hopes of overcoming high hurdles,south korea__ e-commerce darling sure knows how to deliver shopping. and returns?,14/05/2022,Economist,1,0,0
469,tech bubbles are bursting all over the place,some more loudly than others,14/05/2022,Economist,1,0,0
470,activist investors are becoming tamer,they must not become extinct,14/05/2022,Economist,0,0,0
471,china__ zero-covid industrial complex,the biggest corporate winners from the country__ draconian pandemic strategy,14/05/2022,Economist,1,0,0
472,facebook__ retirement plan,what happens when the world__ biggest social network becomes its most doddery?,,Economist,0,0,0
473,can chinese big tech learn to love big brother?,"the government__ crackdown eases, but the damage has been done",,Economist,1,0,0
474,why working from anywhere isn__ realistic,the globe-trotting lifestyle will be open only to a lucky few,07/05/2022,Economist,0,0,0
475,the war in ukraine is rocking the market for edible oils,consumer-goods giants risk going hungry,07/05/2022,Economist,1,0,0
476,a flotilla of startups wants to streamline global supply chains,digital disruption comes for the paper-loving freight-forwarders,07/05/2022,Economist,1,0,0
477,turkish builders are thriving in africa,and giving chinese competitors a run for their money,07/05/2022,Economist,1,0,0
478,the weird ways companies are coping with inflation,consumers are barely yet aware of what is hitting them,30/04/2022,Economist,1,0,0
479,the secrets of big tech,"we dig inside the finances of apple, amazon and others",,Economist,1,0,0
480,elon musk is taking twitter__ __ublic square_ private,the billionaire promises to make online speech freer. that is harder than it sounds,30/04/2022,Economist,1,0,0
481,free-speech idealism will clash with laws__nd reality,elon musk__ twitter challenges,30/04/2022,Economist,0,0,0
482,america has a plan to throttle chinese chipmakers,it will deny them tools to do the job,,Economist,0,0,0
483,the case for easter eggs and other treats,irreverence can foster loyalty rather than weaken it,30/04/2022,Economist,1,0,1
484,startups for the modern workplace,"sharks, dragons and angels: what are you waiting for?",23/04/2022,Economist,1,0,0
485,elon musk__ twitter saga is capitalism gone rogue,the world__ richest man is playing with the rules of the game,23/04/2022,Economist,1,0,1
487,big tech wants to bootstrap carbon removal into a big business,a consortium of technology firms is ploughing nearly $1bn into a clever market mechanism,23/04/2022,Economist,1,0,0
491,companies fear consumer boycotts,but activists_ interest has little immediate impact on sales,16/04/2022,Economist,0,0,0
493,how much of a risk is opacity for china's shein?,the tiktok of frocks is the world__ hottest fashion retailer,16/04/2022,Economist,1,0,0
