number,title,date,stock
1261158,"'Tesla adds Model Y to referral program, surprising move indicating weak demand' -Elektrek Report",2020-06-09 11:53:00-04:00,TSLA
530512,Hearing Investor Kyle Bass Considering Leverage Bet On A Crash In Hong Kong,2020-06-09 11:20:00-04:00,FXI
530514,"WHO's Ryan Says 'Absolutely Convinced' That Transmission By Asymptomatic Cases Is Occurring, The Question Is How Much",2020-06-09 09:43:00-04:00,FXI
530515,"WHO's Van Kerkhove Says Some Modelers Estimate 40% Of Covid Transmission May Be Due To Spread By Asymptomatic Cases, Did Not Include In Previous Remarks",2020-06-09 09:41:00-04:00,FXI
1261161,"UPDATE: 'Tesla defied county orders so it could restart production. Days later, workers tested positive for the coronavirus.' -Washington Post Report",2020-06-09 08:47:00-04:00,TSLA
1261162,Tesla Reported Several Coronavirus Cases Among Employees,2020-06-09 08:38:00-04:00,TSLA
1261163,Morgan Stanley US And China Autos And Shared Mobility Teams To Discuss Tesla On Webcast From 9:00-11:00 a.m. ET,2020-06-09 08:27:00-04:00,TSLA
1261166,"Barron Says Believes Tesla Will Be $2,000-$3,000 In Next Five Years",2020-06-09 07:59:00-04:00,TSLA
1261167,"Ron Barron Says Sees 10X More To Go On Tesla, 20x On SpaceX",2020-06-09 07:52:00-04:00,TSLA
1261168,Ron Barron Says Would Like To Buy More Tesla,2020-06-09 07:50:00-04:00,TSLA
1261169,Investor Ron Barron Being Interviewed On CNBC,2020-06-09 07:42:00-04:00,TSLA
530516,North Korea Says Determined To Shut Down All Contact With South,2020-06-08 17:09:00-04:00,FXI
1261172,Why Nikola's Stock Is Trading Higher Today,2020-06-08 16:27:00-04:00,TSLA
1261175,Million-mile' Battery Ready To Make Says Tesla Battery Producer,2020-06-08 13:42:00-04:00,TSLA
530517,World Health Organization Says Coronavirus Situation 'Worsening' Worldwide,2020-06-08 13:26:00-04:00,FXI
530518,"Private Equity Scouts For China Take-Private Deals Amid Tension, Volatile Markets",2020-06-08 13:19:00-04:00,FXI
1261176,"'Tesla releases fascinating impact report, deep dive into efficiency, lifetime footprint, and more' -Elektrek Report",2020-06-08 13:13:00-04:00,TSLA
530520,"Trump Expected To Sign Uighur Bill, Person Familiar Says BZ NOTE: The Uighur Detention Camps Are A Sore Subject For China. This Move Is Likely To Further Inflame U.S.-China Relations",2020-06-08 11:52:00-04:00,FXI
530521,Alcoa Seeing Better July Aluminum Shipments Amid Re-Openings; Alcoa CFO Says Stronger China Aluminum Price Fueling Alumina Import,2020-06-08 11:29:00-04:00,FXI
1261178,"'CATL Now Promises 2-Million Kilometer, 16-Year Battery Technology' -InsideEVs Report",2020-06-08 11:09:00-04:00,TSLA
1261179,"Tesla shares are trading higher after China's CPCA said Tesla sold 11,095 China-made Model 3 vehicles in May, up 205% month over month.",2020-06-08 10:33:00-04:00,TSLA
1261180,"CORRECTION: Hearing Ron Barron Said To Appear On CNBC Squawk Box On 6/9 At 7:30 a.m. EST; A Prior Headline Suggested 7:30 p.m., This Was Incorrect",2020-06-08 10:24:00-04:00,TSLA
1261181,Hearing Ron Barron To Appear On CNBC Squawk Box On 6/9 At 7:30 a.m. EST,2020-06-08 09:35:00-04:00,TSLA
530523,"'US exports to #China reached $8.6 billion in April, the first year-on-year increase since January.' -Voice Of America Reporter Tweet",2020-06-08 09:13:00-04:00,FXI
1261183,'Tesla made-in-China Model 3 sales jump to record high' -Elektrek Report,2020-06-08 08:58:00-04:00,TSLA
1261184,"China's CPCA Says Tesla Sold 11,095 China-made Model 3 Vehicles in May, Up 205% MoM",2020-06-08 05:14:00-04:00,TSLA
1261186,"Starship Is Top Priority, Elon Musk Tells To SpaceX Employees",2020-06-08 01:17:00-04:00,TSLA
530524,China Unlikely to Lower Tariffs on US Lobsters,2020-06-07 11:04:00-04:00,FXI
530525,Hearing Japan is No Longer Preparing for China's Xi to Visit,2020-06-05 13:50:00-04:00,FXI
530528,'U.S. scraps plans to ban Chinese airlines after Beijing permits foreign carriers' -Tweet From CNBC,2020-06-05 11:49:00-04:00,FXI
530527,Department Of Transportation Says Chinese Airlines May Operate Two Weekly Flights To U.S.,2020-06-05 11:49:00-04:00,FXI
530529,Trump Administration To Issue Revised China Flight Restrictions,2020-06-05 11:45:00-04:00,FXI
530530,"Trump says Views US, China Trade Deal A Bit Differently Than He Did 3 Months Ago Amid Coronavirus",2020-06-05 10:41:00-04:00,FXI
1261191,'Tesla Model 3 becomes best-selling car in the UK for second month in a row' -Elektrek Report,2020-06-05 09:17:00-04:00,TSLA
530532,China Mulls $28B Of Funding To Backstop Troubled Banks,2020-06-05 08:05:00-04:00,FXI
530534,President Trump Issues Memo Calling for Recommendations to Protect U.S. Investors From China's Failure to Allow Audits of U.S.-listed Chinese Companies,2020-06-04 19:03:00-04:00,FXI
530535,Pompeo Urges Stock Exchange Globally To Tighten Rules For Chinese Companies,2020-06-04 16:25:00-04:00,FXI
1261193,'Tesla quietly acquired automated manufacturing firm to design factories' -Electrek Report,2020-06-04 15:12:00-04:00,TSLA
530536,"US Trade Rep Lighthizer Says Virus Will Impact Trade Ties With China, India",2020-06-04 14:28:00-04:00,FXI
530537,US Trade Rep Lighthizer Says Report On China Not Honoring Soybean Buys Was False,2020-06-04 14:23:00-04:00,FXI
530538,US Will Issue Revised Order ON Chinese Passenger Flights,2020-06-04 13:46:00-04:00,FXI
530539,US Secretary Of State Pompeo Says Is Ready To Warn American Investors Against Fraud Accounting Practices Of China-Based Companies,2020-06-04 13:19:00-04:00,FXI
1261196,'GM starts electric van program said to aim to 'beat Tesla to the segment'' -Electrek,2020-06-04 08:54:00-04:00,TSLA
1261197,"Tesla Will Be Rolling Out Cars At Berlin Plant In Less Than A Year, Government Official Says",2020-06-04 06:42:00-04:00,TSLA
1261198,Tesla Plans to Have Car Plant Near Berlin Operating in a Year,2020-06-04 05:44:00-04:00,TSLA
1261199,Three Other Policemen Charged In George Floyd Case,2020-06-04 04:41:00-04:00,TSLA
1261200,'Tesla announces massive Supercharger expansion in China to support growth' -Elektrek Report,2020-06-03 15:09:00-04:00,TSLA
530540,"'China Cancels Some U.S. Farm Shipments, Maritime Executives Say' -WSJ",2020-06-03 14:25:00-04:00,FXI
530541,U.S. To Name More China Media Outlets As Foreign Missions,2020-06-03 14:19:00-04:00,FXI
530542,US Will Designate Added Chinese Media Firms As Foreign Missions As Soon As Thurs.,2020-06-03 14:16:00-04:00,FXI
530543,"NBC Reports That China, Russia, Iran Using State Media To Attack U.S. Over Floyd Death",2020-06-03 13:23:00-04:00,FXI
530544,"'#BREAKING An earthquake with a magnitude of 6.0 rocked West Nusa Tenggara province in central #Indonesia Wednesday night, the meteorology and geophysics agency said' -China News Tweet",2020-06-03 13:03:00-04:00,FXI
530545,"U.S. Commerce Department Says New Economic Restrictions On 33 Chinese Firms, Institutions Will Take Effect June 5",2020-06-03 11:59:00-04:00,FXI
1261204,"Tesla's China, Europe Performance Suggests Quarter Will Be One Of Automaker's Weakest, Says Gordon Johnson",2020-06-03 10:41:00-04:00,TSLA
530546,"US Dept. Of Transportation Says Will Block 4 Chinese Airlines Flying Between US, China",2020-06-03 10:19:00-04:00,FXI
530547,"Trump, Referring To U.S.-China Trade Deal, Says He Is Not Excited About Anything With Respect To China Now",2020-06-03 09:58:00-04:00,FXI
530548,U.S. Set To Bar Chinese Passenger Airlines From Flying To United States,2020-06-03 09:30:00-04:00,FXI
530549,U.S. Embassies And Consulates In China Will Cancel Immigrant And Non-Immigrant Visa Appointments From June 8-26 Due To COVID-19 Epidemic,2020-06-03 09:22:00-04:00,FXI
530550,"China's May Passenger Car Retail Sales Expected To Be Flat YoY, Up 12% MoM",2020-06-03 06:24:00-04:00,FXI
530552,Huawei Hid Business Operation in Iran after Reuters Reported on Ties to the CFO,2020-06-03 05:26:00-04:00,FXI
1261205,"ESPA_OL _ Warren Buffet y Elon Musk, Saqueos en Dispensarios, Aurora Cannabis y Aphria, Clever Leaves, Carey Hart y MÃ¡s",2020-06-02 18:00:00-04:00,TSLA
530553,"China Targeting U.S. Tech Via Researchers, Academics",2020-06-02 15:37:00-04:00,FXI
530554,"'U.S. launches trade probe into digital taxes, plowing ground for new tariffs' -Reuters",2020-06-02 15:18:00-04:00,FXI
1261207,"Tesla Analyst Values SpaceX At $50B, With Starlink The Biggest Growth Driver",2020-06-02 12:20:00-04:00,TSLA
530555,"'China delayed releasing coronavirus info, frustrating WHO' -Earlier AP Report",2020-06-02 11:58:00-04:00,FXI
530556,Senate President Pro Tempore Chuck Grassley Says Is Not Worried China Will Fail To Keep Committments Under Phase 1 Trade Deal,2020-06-02 10:56:00-04:00,FXI
1261209,Electric Cars Represented 43.1% Share Of All New Car Sales In Norway In May,2020-06-02 10:37:00-04:00,TSLA
530557,"'For the first time in 30 years, Hong Kong authorities denied permission to hold the #TiananmenVigil. If there is any doubt about Beijing's intent, it is to deny Hong Kongers a voice and a choice, making them the same as mainlanders.' -Sec. State Pompeo",2020-06-02 08:38:00-04:00,FXI
530558,'Hong Kong blasts Trump's 'double standards' on riot response' -Nikkei Asian Review,2020-06-02 08:28:00-04:00,FXI
530559,"China Central Bank Vice Governor Pan Says Chinese Banks' Asset Quality Could Be Affected As The Economy Faces Downward Pressure; Says New Innovative Policy Tools To Boost Small Banks' Lending TO Small Firms Are Short-Term Policy Arrangements, Not QE",2020-06-02 08:23:00-04:00,FXI
530560,China Central Bank Vice Governor Pan Says Economic Impact From Covid-19 Outbreak Has Exceeded Expectations,2020-06-02 08:17:00-04:00,FXI
530561,China's President Xi Says Will Improve Public Health Emergency Monitoring System,2020-06-02 07:10:00-04:00,FXI
1261211,Elon Musk Tweets: Off Twitter for a while,2020-06-02 05:22:00-04:00,TSLA
1261212,"SpaceX Falcon 9 Launch A 'Major Shot In The Arm' For Tesla Brand, Analyst Says",2020-06-01 16:35:00-04:00,TSLA
1261213,"Wedbush Maintains Neutral Rating On Tesla, Says 'We continue to believe EV demand in China is starting to accelerate with Tesla competing with a number of domestic and international competitors for market share'",2020-06-01 15:23:00-04:00,TSLA
1261214,Wedbush Says 'Battery enhancements and China remain key to the Telsa story',2020-06-01 15:22:00-04:00,TSLA
1261215,"Wedbush Says 'SpaceX Success Further Elevates Musk and Tesla Brand'; Says While Tesla And SpaceX Are Separate, 'from a consumer perspective the Musk DNA remains the linchpin to both of these next generation technology stalwarts'",2020-06-01 15:21:00-04:00,TSLA
1261216,"Tesla Shares Spike, Hitting Session High Of $886.6 After Wedbush Note Rumors",2020-06-01 14:44:00-04:00,TSLA
1261217,"Watching Teslare Shares As Hearing Wedbush Publishing Note On Space X Launch, Battery Announcement",2020-06-01 14:43:00-04:00,TSLA
1261218,PreMarket Prep Stock Of The Day: Tesla,2020-06-01 13:03:00-04:00,TSLA
530563,WHO Head Tedros Says WHO Wishes To Continue Its Relationship With US,2020-06-01 11:43:00-04:00,FXI
530564,Hearing China Has Told Firms To Halt Purchases Of Major US Farm Products,2020-06-01 11:27:00-04:00,FXI
530565,"China Says it Will Use the Island of Hainan for Free Trade, Free Investment and Free Cross-Border Capital Flow",2020-06-01 08:21:00-04:00,FXI
530566,"China Will Facilitate Free Trade, Free Investment, Free Cross-Border Capital Flows In Hainan",2020-06-01 08:19:00-04:00,FXI
1261220,"NASA Astronauts Launched By SpaceX Reach International Space Station, Celebrate Historic Moment",2020-06-01 08:07:00-04:00,TSLA
530567,"Xi Stresses High-quality, High-standard Construction of Hainan Free Trade Port",2020-06-01 07:08:00-04:00,FXI
530568,"China Asks State Firms to Halt Purchases of U.S. Soybeans, Pork",2020-06-01 06:45:00-04:00,FXI
1261223,"Elon Musk's Baby Has A Nickname, Grimes Reveals",2020-06-01 05:54:00-04:00,TSLA
530569,"U.S. Stock Futures Modestly Lower After Weekend of Growing Unrest Over Floyd Death; China Halts Purchases of Some U.S. Farm Imports, Including Soybeans",2020-06-01 05:46:00-04:00,FXI
530570,"China Halts Some U.S. Farm Imports, Including Soybeans",2020-06-01 05:42:00-04:00,FXI
1261224,Elon Musk's SpaceX Capsule Links Up With Space Station,2020-05-31 10:52:00-04:00,TSLA
530571,China May Official Manufacturing PMI 50.6 vs 51.5 Market Expectation,2020-05-30 21:27:00-04:00,FXI
1261225,American Astronauts Safely Launched into Space Aboard Elon Musk's SpaceX Rocket; Scheduled to Dock With International Space Station on Sunday,2020-05-30 15:51:00-04:00,TSLA
1261226,Tesla's Stock And SpaceX Launches: Are Traders Looking For A Connection?,2020-05-30 14:21:00-04:00,TSLA
530573,'I still expect some sort of retaliation because the Chinese believe they have the upper hand because of our recession caused by a virus that came from their country.' -Jim Cramer Tweet,2020-05-29 15:15:00-04:00,FXI
530574,'President Donald Trump did not say the US is backing out of the Phase One trade deal with China. It appears the trade deal is still intact. #China #Trade' -Edward Lawrence Tweet,2020-05-29 15:06:00-04:00,FXI
530575,"Markets Regain Strength, Rally After Trump's Comments On Hong Kong",2020-05-29 14:59:00-04:00,FXI
530577,Trump Will Directly Sanction PRC Officials As Consequence Of China's Hong Kong Move,2020-05-29 14:58:00-04:00,FXI
530576,Trump To Revise State Dept.'s Travel Advisory For Hong Kong,2020-05-29 14:58:00-04:00,FXI
530579,Trump Says Admin. Will Begin Process To Eliminate Policy Exemptions Giving Hong Kong Special Treatment,2020-05-29 14:57:00-04:00,FXI
530578,Trump Says Investment Firms Should Not Expose Clients To China Risk,2020-05-29 14:57:00-04:00,FXI
530580,Trump Says Hong Kong Is No Longer Sufficiently Autonomous To Merit Special Treatment From U.S.,2020-05-29 14:56:00-04:00,FXI
530583,Trump Says Will Suspend Entry Of Certain Nationals From China Who Have Been Identified As Security Risks,2020-05-29 14:55:00-04:00,FXI
530582,Trump Says He Is Instructing Working Groups To Study Differing Practices Of Chinese Companies Listed On U.S. Stock Markets,2020-05-29 14:55:00-04:00,FXI
530581,Trump Says China's Actions On Hong Kong Is A 'Plain Violation' Of Treaty,2020-05-29 14:55:00-04:00,FXI
530585,Trump Terminating US Relationship With WHO,2020-05-29 14:53:00-04:00,FXI
530584,Trump Says Funds Given To WHO Will Be Directed To Other Global Causes,2020-05-29 14:53:00-04:00,FXI
530586,Trump Says China Has Total Control Over WHO,2020-05-29 14:52:00-04:00,FXI
530588,Trump Says China Was Able To Get Rid Of Theft Because Of Past Politicians,2020-05-29 14:51:00-04:00,FXI
530587,"Trump Says US Wants Open Conversation With China But Requires We Defend Our National Interests, Says China Has Broken Promises To Us",2020-05-29 14:51:00-04:00,FXI
530591,Trump Begins Press Conference On China,2020-05-29 14:50:00-04:00,FXI
530590,Trump Says China Has Ripped Off The US,2020-05-29 14:50:00-04:00,FXI
530589,Stocks Fall Trump Begins China Presser,2020-05-29 14:50:00-04:00,FXI
530592,"Trump, Boris Johnson Agreed To Work Closely On China's Hong Kong Moves",2020-05-29 14:18:00-04:00,FXI
530593,"Trump Isn't Planning To Quit Phase-1 Trade Deal, Person Says",2020-05-29 14:07:00-04:00,FXI
530594,U.S. To Collect Deposits On Some China Hydrofluorocarbon Blends,2020-05-29 14:05:00-04:00,FXI
530595,President Trump To Hold News Conference On China And Hong Kong At 2:00 p.m. ET (Livestream Link),2020-05-29 13:59:00-04:00,FXI
530596,Rep Sherman Says Now Is Time To Move Bill To Delist China Companies,2020-05-29 13:34:00-04:00,FXI
530597,Hearing Trump Admin To Cancel Thousands Of Chinese Student Visas From Certain Universities With Ties To The Chinese Govt,2020-05-29 13:19:00-04:00,FXI
530598,'Trump Weighing Sanctions On Targeting China's Finance Sector Through Sanctions And Trade Policy Over Hong Kong' -Bloomberg Reporter,2020-05-29 13:06:00-04:00,FXI
530599,"Large Volume Spike In S&P 500 Futures, Volatility; Hearing Trump Could Possibly Sanction Chinese Finance Sector Amid Hong Kong Issues",2020-05-29 12:57:00-04:00,FXI
530601,Pompeo Said U.S. Authorities Would Not Allow Chinese Students To Engage In Espionage,2020-05-29 10:40:00-04:00,FXI
530602,Singapore-China To Open Essential Travel For Business And Official Purposes In Early June,2020-05-29 10:39:00-04:00,FXI
530603,"Trump Press Conference On China Set For 2 p.m., According To Fox Business",2020-05-29 10:31:00-04:00,FXI
530604,"'Abe urged to rethink Xi's Japan visit by own party, citing Hong Kong' -Nikkei Asian Review Report",2020-05-29 10:24:00-04:00,FXI
530605,No Time Has Been Given As To When Trump Will Announce The Series Of Actions Related To China,2020-05-29 09:44:00-04:00,FXI
530606,White House Advisor Kudlow: President Trump Will Present Ideas To Hold China Accountable,2020-05-29 08:52:00-04:00,FXI
1261228,20 Tesla Employees Worked At SpaceX Ahead Of NASA Astronauts Launch,2020-05-29 08:45:00-04:00,TSLA
1261229,"Daiwa Capital Initiates Coverage On Tesla with Outperform Rating, Announces Price Target of $910",2020-05-29 06:15:00-04:00,TSLA
1261230,Tesla's Annual Shareholders Meeting Scheduled For July 7,2020-05-29 05:06:00-04:00,TSLA
1261231,Tesla To Give Musk $700M In Incentives Payment,2020-05-29 00:46:00-04:00,TSLA
1261232,Tesla's FSD Package Shows Automaker's Potential For Software Revenue,2020-05-28 17:53:00-04:00,TSLA
530608,Hearing Trump Says Will Be A News Conference Related To China On Friday,2020-05-28 15:17:00-04:00,FXI
1261233,'Tesla Requests Approval To Sell Model 3 With Cheaper Battery Chemistry' -InsideEVs,2020-05-28 14:39:00-04:00,TSLA
530609,White House Press Secretary McEnany Says China's Decision On Hong Kong Is In Conflict With UN Resolution,2020-05-28 14:36:00-04:00,FXI
530610,World Bank Pres Malpass Sees Possible Supplemental Replenishment Of Int'l. Development Association Arm If Pandemic Crisis Deepends,2020-05-28 14:06:00-04:00,FXI
530611,"'U.S. brings massive N. Korean sanctions case, targeting state-owned bank and former government officials' -Washington Post Report",2020-05-28 13:56:00-04:00,FXI
530612,Kudlow Says China's Behavior With The Pandemic Cannot Be Ignored,2020-05-28 13:54:00-04:00,FXI
530614,US Senator Toomey Says Hong Kong May Become Subject To China Tariffs,2020-05-28 07:59:00-04:00,FXI
530615,Chinese Officials Have Blocked A US Call For UN Security Council Hong Kong Meeting,2020-05-28 07:27:00-04:00,FXI
530616,Li Says China-U.S. Decoupling Does No Good to Either Side and Will Harm the World as the Two Countries Are Major Economies,2020-05-28 05:39:00-04:00,FXI
530617,China's Li Says No Cover-up of Covid-19 Cases Will Be Allowed,2020-05-28 05:38:00-04:00,FXI
530618,China Premier Li Says China is Open to Joining CPTPP Trade Agreement,2020-05-28 05:34:00-04:00,FXI
1261237,Tesla Leads Electric Car Sales In South Korea Thanks To Model 3,2020-05-28 04:13:00-04:00,TSLA
530619,'Top campaign advisor says Biden would sanction China over Hong Kong' -CNBC,2020-05-27 22:20:00-04:00,FXI
530620,"House Approves China Bill 413-1, Measure Now Goes To Trump For Signing",2020-05-27 17:53:00-04:00,FXI
530621,"'[Trump] ""administration will take action"" against China, David Stilwell, Asst. Secretary of State for East Asian and Pacific Affairs, replies to @rongxiang. ""I would expect others to also seeing Chinese actions...' -Tweet From Voice Of America's Steve He",2020-05-27 17:41:00-04:00,FXI
530622,"House Has Enough Votes To Pass Chinese Sanctions Bill, Voting Continues",2020-05-27 17:12:00-04:00,FXI
530623,Huawei CFO Meng Wanzhou Loses Double Criminality Aspect Of U.S. Extradition Case In Canadia Court,2020-05-27 14:02:00-04:00,FXI
530624,"Germany's Merkel Calls Relations With US 'Difficult,' But Says Ties Must Remain",2020-05-27 13:51:00-04:00,FXI
530625,German Chancellor Angela Merkel Says EU Has A Strategic Interest In Cooperating With China,2020-05-27 13:49:00-04:00,FXI
1261238,Jay Leno Takes Elon Musk For A Drive In A Tesla Cybertruck,2020-05-27 13:20:00-04:00,TSLA
1261239,What To Know About NASA And SpaceX's Crew Dragon Launch,2020-05-27 12:01:00-04:00,TSLA
530626,US Commerce Secretary Wilbur Ross Says Trump Considering 'A Whole Menu Of Options' Against China On Hong Kong Law,2020-05-27 11:41:00-04:00,FXI
1261240,"Twitter Account Highlights Negative Analyst Sentiment On Tesla Following Co.'s North American Price Cuts News, Cites Roth Capital Analyst, Gordon Johnson Of GLJ Research",2020-05-27 10:31:00-04:00,TSLA
1261241,Why Tesla 'Appears To Be Turning The Corner' Heading Into Summer,2020-05-27 09:30:00-04:00,TSLA
530627,"Trump Tweets: 'We have informed both India and China that the United States is ready, willing and able to mediate or arbitrate their now raging border dispute. Thank you!'",2020-05-27 07:23:00-04:00,FXI
1261243,"Wedbush Maintains Neutral on Tesla, Raises Price Target to $800",2020-05-27 07:05:00-04:00,TSLA
530628,"China Central Bank Says China Will Roll Out 11 Financial Reform Measures in Near Term, Deepen Reform of Small and Medium-sized Banks, Accelerate Replenishment of Their Capital",2020-05-27 06:54:00-04:00,FXI
1261244,Tesla To Reduce Car Prices In North America And China,2020-05-27 05:50:00-04:00,TSLA
1261245,"Tesla to Cut Prices for Some Models in N. America, China",2020-05-27 05:38:00-04:00,TSLA
530629,Trump Says Will Hear About US Actions On China By The End Of The Week,2020-05-26 17:07:00-04:00,FXI
530630,"US Mulls Sanctions On Chinese Officials, Firms Over Hong Kong; Sanctions Discussions Ongoing",2020-05-26 15:36:00-04:00,FXI
530631,"'President Trump and Secretary Pompeo meeting at White House right now to discuss restricting F and J visas for students and researchers in China from studying in the United States, officials say' -FOX Reporter",2020-05-26 15:30:00-04:00,FXI
1261246,'All eyes on Tesla's recovery in China _ rumors of massive backlog' -Elektrek Report,2020-05-26 12:24:00-04:00,TSLA
530633,"'Wuhan Tests Millions in 12 Days as China Fears Second Virus Wave' -Bloomberg, From Earlier",2020-05-26 06:40:00-04:00,FXI
530632,China's Xi Says Performance in Fighting Coronavirus Shows Results of Military Reform,2020-05-26 06:40:00-04:00,FXI
530634,China's President Xi Says Will Step Up Preparedness for Military Combat -,2020-05-26 06:36:00-04:00,FXI
530635,China Finance Ministry Says to Subsidize Cargo Flights of Chinese and Foreign Airlines from April 1 to June 30,2020-05-26 06:07:00-04:00,FXI
1261248,Grimes And Musk Rename Baby To Comply With California Law,2020-05-26 02:21:00-04:00,TSLA
530636,China Cbank Governor Says Will Actively and Prudently Push Forward the Opening of Financial Sector,2020-05-25 21:12:00-04:00,FXI
530637,China Cbank Governor Says Will Attract More Foreign and Private Financial Institutions Into Chinese Market,2020-05-25 21:11:00-04:00,FXI
530639,U.S. National Security Adviser O'Brien Says China Takeover of Hong Kong Could Lead to U.S Sanctions,2020-05-24 11:59:00-04:00,FXI
530640,Senior Chinese Diplomat Wang Yi Says Advises U.S. Not to Challenge China's Red Line on Taiwan; Says Hong Kong is China's Internal Affair,2020-05-24 11:05:00-04:00,FXI
530641,U.S Death Toll From Covid-19 to Reach 100k by Tues,2020-05-24 11:03:00-04:00,FXI
530642,U.S. State Dept Tweets: The U.S. government took another step to protect U.S. national security and the integrity of 5G networks. We will not tolerate efforts by the Chinese Communist Party to undermine the privacy of our citizens or the integrity of 5G networks worldwide.,2020-05-23 17:49:00-04:00,FXI
1261249,Elon Musk Scraps Plan to Make Electric Pickup Smaller,2020-05-23 15:54:00-04:00,TSLA
530644,"US Commerce Department Adding Nine Chinese Entities Related To Human Rights Abuses In Xinjiang Uighur Autonomous Region To Economic Blacklist; Also Adding Two Dozen Chinese Companies With Ties To Weapons Of Mass Destruction, Military Activities To List",2020-05-22 15:25:00-04:00,FXI
530645,China's Global Times Says Chinese 'Chinese scientists identified multiple highly potent neutralizing antibodies that have proven effective in an animal model',2020-05-22 12:26:00-04:00,FXI
530648,"China's Global Times Says China's Coronavirus Vaccine Trial Has 'been found to be safe, well-tolerated, and able to generate an immune response against SARS-COV-2 in humans, according to a study published online on Friday by medical journal The Lancet.'",2020-05-22 10:52:00-04:00,FXI
530650,China Caac To Allow Some Flights From U.S. In June,2020-05-22 09:21:00-04:00,FXI
530651,"Secretary Of State Pompeo Says China's Decision To Bypass Hong Kong's Legislative Processes 'Would Be A Death Knell' For Autonomy Promised Under Agreement; Says Stands With People Of Hong Kong, Strongly Urges Beijing To Reconsider",2020-05-22 08:30:00-04:00,FXI
530652,Pompeo Says US Condemns China's 'proposal To Unilaterally And Arbitrarily Impose National Security Legislation On Hong Kong',2020-05-22 08:22:00-04:00,FXI
1261250,"Tesla Employees Fear Conditions At Factory, Describe It As 'Modern-Day Sweatshop'",2020-05-22 02:54:00-04:00,TSLA
530654,"China Premier Li Says We Will Firmly Safeguard China's Sovereignty, Security and Development Interests",2020-05-21 21:17:00-04:00,FXI
530655,China to Work With U.S. to Implement Phase One Trade Deal,2020-05-21 21:12:00-04:00,FXI
530656,"U.S. Says Russia's Plan Talks Aimed At Litliting Russian, Chinese And U.S. Nuclear",2020-05-21 15:04:00-04:00,FXI
530657,Trump Seeks Russia's Help In Bringing China Into Three-Way Arms Control Deal,2020-05-21 15:03:00-04:00,FXI
1261254,"'Tesla goes back to 'normal' manufacturing operations, calls more workers to come back to work' -Electrek",2020-05-21 13:58:00-04:00,TSLA
530658,"Kudlow Says China Trade Deal Is In Tact, Says There Will Be No Renegotiation",2020-05-21 13:30:00-04:00,FXI
530659,US Says Implementation Of Phase 1 Deal With China Is Progressing,2020-05-21 13:11:00-04:00,FXI
