number,title,date,stock,sentiment_scores
530510,"Morgan Stanley CEO James Gorman Says Greater China, Hong Kong Remain Critical To Co.",2020-06-09 12:28:00-04:00,FXI,"{'negative': 0.0027301805, 'neutral': 0.9960842, 'positive': 0.0011855953}"
1261158,"'Tesla adds Model Y to referral program, surprising move indicating weak demand' -Elektrek Report",2020-06-09 11:53:00-04:00,TSLA,"{'negative': 0.18254709, 'neutral': 0.81477433, 'positive': 0.0026785433}"
530512,Hearing Investor Kyle Bass Considering Leverage Bet On A Crash In Hong Kong,2020-06-09 11:20:00-04:00,FXI,"{'negative': 0.36176258, 'neutral': 0.63684887, 'positive': 0.0013885947}"
530514,"WHO's Ryan Says 'Absolutely Convinced' That Transmission By Asymptomatic Cases Is Occurring, The Question Is How Much",2020-06-09 09:43:00-04:00,FXI,"{'negative': 0.021978509, 'neutral': 0.9768844, 'positive': 0.0011370655}"
530515,"WHO's Van Kerkhove Says Some Modelers Estimate 40% Of Covid Transmission May Be Due To Spread By Asymptomatic Cases, Did Not Include In Previous Remarks",2020-06-09 09:41:00-04:00,FXI,"{'negative': 0.44396546, 'neutral': 0.5543631, 'positive': 0.0016714986}"
1261161,"UPDATE: 'Tesla defied county orders so it could restart production. Days later, workers tested positive for the coronavirus.' -Washington Post Report",2020-06-09 08:47:00-04:00,TSLA,"{'negative': 0.82943803, 'neutral': 0.1685476, 'positive': 0.0020143543}"
1261162,Tesla Reported Several Coronavirus Cases Among Employees,2020-06-09 08:38:00-04:00,TSLA,"{'negative': 0.8328103, 'neutral': 0.1650888, 'positive': 0.0021008959}"
1261163,Morgan Stanley US And China Autos And Shared Mobility Teams To Discuss Tesla On Webcast From 9:00-11:00 a.m. ET,2020-06-09 08:27:00-04:00,TSLA,"{'negative': 0.0026373863, 'neutral': 0.9964443, 'positive': 0.0009183102}"
1261166,"Barron Says Believes Tesla Will Be $2,000-$3,000 In Next Five Years",2020-06-09 07:59:00-04:00,TSLA,"{'negative': 0.002011828, 'neutral': 0.99425405, 'positive': 0.0037341015}"
1261167,"Ron Barron Says Sees 10X More To Go On Tesla, 20x On SpaceX",2020-06-09 07:52:00-04:00,TSLA,"{'negative': 0.0033958456, 'neutral': 0.99563664, 'positive': 0.00096760783}"
1261168,Ron Barron Says Would Like To Buy More Tesla,2020-06-09 07:50:00-04:00,TSLA,"{'negative': 0.001988395, 'neutral': 0.99605995, 'positive': 0.0019516157}"
1261169,Investor Ron Barron Being Interviewed On CNBC,2020-06-09 07:42:00-04:00,TSLA,"{'negative': 0.0020782372, 'neutral': 0.9971179, 'positive': 0.00080384203}"
530516,North Korea Says Determined To Shut Down All Contact With South,2020-06-08 17:09:00-04:00,FXI,"{'negative': 0.75239974, 'neutral': 0.24596202, 'positive': 0.0016382306}"
1261172,Why Nikola's Stock Is Trading Higher Today,2020-06-08 16:27:00-04:00,TSLA,"{'negative': 0.0014307693, 'neutral': 0.9957766, 'positive': 0.0027926187}"
1261175,Million-mile' Battery Ready To Make Says Tesla Battery Producer,2020-06-08 13:42:00-04:00,TSLA,"{'negative': 0.0019242744, 'neutral': 0.9962049, 'positive': 0.0018709273}"
530517,World Health Organization Says Coronavirus Situation 'Worsening' Worldwide,2020-06-08 13:26:00-04:00,FXI,"{'negative': 0.78968185, 'neutral': 0.20765436, 'positive': 0.0026637872}"
530518,"Private Equity Scouts For China Take-Private Deals Amid Tension, Volatile Markets",2020-06-08 13:19:00-04:00,FXI,"{'negative': 0.037882056, 'neutral': 0.9609707, 'positive': 0.0011472561}"
1261176,"'Tesla releases fascinating impact report, deep dive into efficiency, lifetime footprint, and more' -Elektrek Report",2020-06-08 13:13:00-04:00,TSLA,"{'negative': 0.002815054, 'neutral': 0.98095936, 'positive': 0.016225593}"
530520,"Trump Expected To Sign Uighur Bill, Person Familiar Says BZ NOTE: The Uighur Detention Camps Are A Sore Subject For China. This Move Is Likely To Further Inflame U.S.-China Relations",2020-06-08 11:52:00-04:00,FXI,"{'negative': 0.78790766, 'neutral': 0.21065488, 'positive': 0.0014374381}"
530521,Alcoa Seeing Better July Aluminum Shipments Amid Re-Openings; Alcoa CFO Says Stronger China Aluminum Price Fueling Alumina Import,2020-06-08 11:29:00-04:00,FXI,"{'negative': 0.0022319576, 'neutral': 0.9892938, 'positive': 0.0084741535}"
1261178,"'CATL Now Promises 2-Million Kilometer, 16-Year Battery Technology' -InsideEVs Report",2020-06-08 11:09:00-04:00,TSLA,"{'negative': 0.0022434194, 'neutral': 0.9961175, 'positive': 0.0016390535}"
1261179,"Tesla shares are trading higher after China's CPCA said Tesla sold 11,095 China-made Model 3 vehicles in May, up 205% month over month.",2020-06-08 10:33:00-04:00,TSLA,"{'negative': 0.0015201384, 'neutral': 0.98120236, 'positive': 0.017277488}"
1261180,"CORRECTION: Hearing Ron Barron Said To Appear On CNBC Squawk Box On 6/9 At 7:30 a.m. EST; A Prior Headline Suggested 7:30 p.m., This Was Incorrect",2020-06-08 10:24:00-04:00,TSLA,"{'negative': 0.66649073, 'neutral': 0.33182466, 'positive': 0.0016845989}"
1261181,Hearing Ron Barron To Appear On CNBC Squawk Box On 6/9 At 7:30 a.m. EST,2020-06-08 09:35:00-04:00,TSLA,"{'negative': 0.0022887725, 'neutral': 0.9969348, 'positive': 0.0007763946}"
530523,"'US exports to #China reached $8.6 billion in April, the first year-on-year increase since January.' -Voice Of America Reporter Tweet",2020-06-08 09:13:00-04:00,FXI,"{'negative': 0.0014048683, 'neutral': 0.9941339, 'positive': 0.004461345}"
1261183,'Tesla made-in-China Model 3 sales jump to record high' -Elektrek Report,2020-06-08 08:58:00-04:00,TSLA,"{'negative': 0.0014781813, 'neutral': 0.98082215, 'positive': 0.017699681}"
1261184,"China's CPCA Says Tesla Sold 11,095 China-made Model 3 Vehicles in May, Up 205% MoM",2020-06-08 05:14:00-04:00,TSLA,"{'negative': 0.0017072883, 'neutral': 0.99484164, 'positive': 0.0034510694}"
1261186,"Starship Is Top Priority, Elon Musk Tells To SpaceX Employees",2020-06-08 01:17:00-04:00,TSLA,"{'negative': 0.0019119793, 'neutral': 0.9931571, 'positive': 0.004930972}"
530524,China Unlikely to Lower Tariffs on US Lobsters,2020-06-07 11:04:00-04:00,FXI,"{'negative': 0.3231584, 'neutral': 0.6743928, 'positive': 0.0024488145}"
530525,Hearing Japan is No Longer Preparing for China's Xi to Visit,2020-06-05 13:50:00-04:00,FXI,"{'negative': 0.41798648, 'neutral': 0.5802013, 'positive': 0.0018121265}"
530528,'U.S. scraps plans to ban Chinese airlines after Beijing permits foreign carriers' -Tweet From CNBC,2020-06-05 11:49:00-04:00,FXI,"{'negative': 0.04150276, 'neutral': 0.9576061, 'positive': 0.0008911868}"
530527,Department Of Transportation Says Chinese Airlines May Operate Two Weekly Flights To U.S.,2020-06-05 11:49:00-04:00,FXI,"{'negative': 0.0037202162, 'neutral': 0.9953243, 'positive': 0.0009555417}"
530529,Trump Administration To Issue Revised China Flight Restrictions,2020-06-05 11:45:00-04:00,FXI,"{'negative': 0.04158494, 'neutral': 0.9571673, 'positive': 0.0012476697}"
530530,"Trump says Views US, China Trade Deal A Bit Differently Than He Did 3 Months Ago Amid Coronavirus",2020-06-05 10:41:00-04:00,FXI,"{'negative': 0.041195676, 'neutral': 0.9574315, 'positive': 0.0013728449}"
1261191,'Tesla Model 3 becomes best-selling car in the UK for second month in a row' -Elektrek Report,2020-06-05 09:17:00-04:00,TSLA,"{'negative': 0.0024437036, 'neutral': 0.8683344, 'positive': 0.12922187}"
530532,China Mulls $28B Of Funding To Backstop Troubled Banks,2020-06-05 08:05:00-04:00,FXI,"{'negative': 0.20782064, 'neutral': 0.79039294, 'positive': 0.0017864975}"
530534,President Trump Issues Memo Calling for Recommendations to Protect U.S. Investors From China's Failure to Allow Audits of U.S.-listed Chinese Companies,2020-06-04 19:03:00-04:00,FXI,"{'negative': 0.047020677, 'neutral': 0.9506989, 'positive': 0.0022803892}"
530535,Pompeo Urges Stock Exchange Globally To Tighten Rules For Chinese Companies,2020-06-04 16:25:00-04:00,FXI,"{'negative': 0.007200867, 'neutral': 0.9911675, 'positive': 0.0016316305}"
1261193,'Tesla quietly acquired automated manufacturing firm to design factories' -Electrek Report,2020-06-04 15:12:00-04:00,TSLA,"{'negative': 0.002918349, 'neutral': 0.9961389, 'positive': 0.00094269}"
530536,"US Trade Rep Lighthizer Says Virus Will Impact Trade Ties With China, India",2020-06-04 14:28:00-04:00,FXI,"{'negative': 0.3900566, 'neutral': 0.6080178, 'positive': 0.0019255996}"
530537,US Trade Rep Lighthizer Says Report On China Not Honoring Soybean Buys Was False,2020-06-04 14:23:00-04:00,FXI,"{'negative': 0.51501876, 'neutral': 0.48330483, 'positive': 0.0016764494}"
530538,US Will Issue Revised Order ON Chinese Passenger Flights,2020-06-04 13:46:00-04:00,FXI,"{'negative': 0.017323675, 'neutral': 0.9817653, 'positive': 0.0009109823}"
530539,US Secretary Of State Pompeo Says Is Ready To Warn American Investors Against Fraud Accounting Practices Of China-Based Companies,2020-06-04 13:19:00-04:00,FXI,"{'negative': 0.07528921, 'neutral': 0.922457, 'positive': 0.0022538994}"
1261196,'GM starts electric van program said to aim to 'beat Tesla to the segment'' -Electrek,2020-06-04 08:54:00-04:00,TSLA,"{'negative': 0.0018203431, 'neutral': 0.9964897, 'positive': 0.0016899362}"
1261197,"Tesla Will Be Rolling Out Cars At Berlin Plant In Less Than A Year, Government Official Says",2020-06-04 06:42:00-04:00,TSLA,"{'negative': 0.0017936245, 'neutral': 0.99626005, 'positive': 0.0019463762}"
1261198,Tesla Plans to Have Car Plant Near Berlin Operating in a Year,2020-06-04 05:44:00-04:00,TSLA,"{'negative': 0.002074938, 'neutral': 0.9959632, 'positive': 0.0019618366}"
1261199,Three Other Policemen Charged In George Floyd Case,2020-06-04 04:41:00-04:00,TSLA,"{'negative': 0.09726875, 'neutral': 0.9016474, 'positive': 0.0010838904}"
1261200,'Tesla announces massive Supercharger expansion in China to support growth' -Elektrek Report,2020-06-03 15:09:00-04:00,TSLA,"{'negative': 0.0016792126, 'neutral': 0.98868585, 'positive': 0.009634982}"
530540,"'China Cancels Some U.S. Farm Shipments, Maritime Executives Say' -WSJ",2020-06-03 14:25:00-04:00,FXI,"{'negative': 0.5321004, 'neutral': 0.46640205, 'positive': 0.0014975723}"
530541,U.S. To Name More China Media Outlets As Foreign Missions,2020-06-03 14:19:00-04:00,FXI,"{'negative': 0.003534024, 'neutral': 0.9953896, 'positive': 0.0010763292}"
530542,US Will Designate Added Chinese Media Firms As Foreign Missions As Soon As Thurs.,2020-06-03 14:16:00-04:00,FXI,"{'negative': 0.0047613177, 'neutral': 0.99425745, 'positive': 0.0009811481}"
530543,"NBC Reports That China, Russia, Iran Using State Media To Attack U.S. Over Floyd Death",2020-06-03 13:23:00-04:00,FXI,"{'negative': 0.5301873, 'neutral': 0.4683332, 'positive': 0.0014795489}"
530544,"'#BREAKING An earthquake with a magnitude of 6.0 rocked West Nusa Tenggara province in central #Indonesia Wednesday night, the meteorology and geophysics agency said' -China News Tweet",2020-06-03 13:03:00-04:00,FXI,"{'negative': 0.027749253, 'neutral': 0.9713567, 'positive': 0.00089400384}"
530545,"U.S. Commerce Department Says New Economic Restrictions On 33 Chinese Firms, Institutions Will Take Effect June 5",2020-06-03 11:59:00-04:00,FXI,"{'negative': 0.15300456, 'neutral': 0.84562963, 'positive': 0.0013658315}"
1261204,"Tesla's China, Europe Performance Suggests Quarter Will Be One Of Automaker's Weakest, Says Gordon Johnson",2020-06-03 10:41:00-04:00,TSLA,"{'negative': 0.90553486, 'neutral': 0.09244922, 'positive': 0.0020159846}"
530546,"US Dept. Of Transportation Says Will Block 4 Chinese Airlines Flying Between US, China",2020-06-03 10:19:00-04:00,FXI,"{'negative': 0.26001593, 'neutral': 0.7385276, 'positive': 0.0014564003}"
530547,"Trump, Referring To U.S.-China Trade Deal, Says He Is Not Excited About Anything With Respect To China Now",2020-06-03 09:58:00-04:00,FXI,"{'negative': 0.0652101, 'neutral': 0.9330888, 'positive': 0.0017010506}"
530548,U.S. Set To Bar Chinese Passenger Airlines From Flying To United States,2020-06-03 09:30:00-04:00,FXI,"{'negative': 0.35605392, 'neutral': 0.64242667, 'positive': 0.0015193748}"
530549,U.S. Embassies And Consulates In China Will Cancel Immigrant And Non-Immigrant Visa Appointments From June 8-26 Due To COVID-19 Epidemic,2020-06-03 09:22:00-04:00,FXI,"{'negative': 0.7730152, 'neutral': 0.22484335, 'positive': 0.0021413919}"
530550,"China's May Passenger Car Retail Sales Expected To Be Flat YoY, Up 12% MoM",2020-06-03 06:24:00-04:00,FXI,"{'negative': 0.023533802, 'neutral': 0.974613, 'positive': 0.0018532131}"
530552,Huawei Hid Business Operation in Iran after Reuters Reported on Ties to the CFO,2020-06-03 05:26:00-04:00,FXI,"{'negative': 0.009957723, 'neutral': 0.98934793, 'positive': 0.0006942871}"
1261205,"ESPA_OL _ Warren Buffet y Elon Musk, Saqueos en Dispensarios, Aurora Cannabis y Aphria, Clever Leaves, Carey Hart y M??s",2020-06-02 18:00:00-04:00,TSLA,"{'negative': 0.0022888237, 'neutral': 0.9965911, 'positive': 0.0011200384}"
530553,"China Targeting U.S. Tech Via Researchers, Academics",2020-06-02 15:37:00-04:00,FXI,"{'negative': 0.008443517, 'neutral': 0.99078065, 'positive': 0.0007759224}"
530554,"'U.S. launches trade probe into digital taxes, plowing ground for new tariffs' -Reuters",2020-06-02 15:18:00-04:00,FXI,"{'negative': 0.008080257, 'neutral': 0.9910506, 'positive': 0.000869227}"
1261207,"Tesla Analyst Values SpaceX At $50B, With Starlink The Biggest Growth Driver",2020-06-02 12:20:00-04:00,TSLA,"{'negative': 0.0018837812, 'neutral': 0.9800934, 'positive': 0.018022804}"
530555,"'China delayed releasing coronavirus info, frustrating WHO' -Earlier AP Report",2020-06-02 11:58:00-04:00,FXI,"{'negative': 0.8170765, 'neutral': 0.18154731, 'positive': 0.001376239}"
530556,Senate President Pro Tempore Chuck Grassley Says Is Not Worried China Will Fail To Keep Committments Under Phase 1 Trade Deal,2020-06-02 10:56:00-04:00,FXI,"{'negative': 0.19174452, 'neutral': 0.8055212, 'positive': 0.0027343729}"
1261209,Electric Cars Represented 43.1% Share Of All New Car Sales In Norway In May,2020-06-02 10:37:00-04:00,TSLA,"{'negative': 0.0014858716, 'neutral': 0.99329984, 'positive': 0.005214321}"
530557,"'For the first time in 30 years, Hong Kong authorities denied permission to hold the #TiananmenVigil. If there is any doubt about Beijing's intent, it is to deny Hong Kongers a voice and a choice, making them the same as mainlanders.' -Sec. State Pompeo",2020-06-02 08:38:00-04:00,FXI,"{'negative': 0.84654474, 'neutral': 0.15213352, 'positive': 0.001321755}"
530558,'Hong Kong blasts Trump's 'double standards' on riot response' -Nikkei Asian Review,2020-06-02 08:28:00-04:00,FXI,"{'negative': 0.2876515, 'neutral': 0.71096325, 'positive': 0.0013852214}"
530559,"China Central Bank Vice Governor Pan Says Chinese Banks' Asset Quality Could Be Affected As The Economy Faces Downward Pressure; Says New Innovative Policy Tools To Boost Small Banks' Lending TO Small Firms Are Short-Term Policy Arrangements, Not QE",2020-06-02 08:23:00-04:00,FXI,"{'negative': 0.27841076, 'neutral': 0.71932423, 'positive': 0.002264987}"
530560,China Central Bank Vice Governor Pan Says Economic Impact From Covid-19 Outbreak Has Exceeded Expectations,2020-06-02 08:17:00-04:00,FXI,"{'negative': 0.23163025, 'neutral': 0.76476544, 'positive': 0.0036042575}"
530561,China's President Xi Says Will Improve Public Health Emergency Monitoring System,2020-06-02 07:10:00-04:00,FXI,"{'negative': 0.0025762464, 'neutral': 0.99316096, 'positive': 0.0042627417}"
1261211,Elon Musk Tweets: Off Twitter for a while,2020-06-02 05:22:00-04:00,TSLA,"{'negative': 0.19630264, 'neutral': 0.80210876, 'positive': 0.0015886113}"
1261212,"SpaceX Falcon 9 Launch A 'Major Shot In The Arm' For Tesla Brand, Analyst Says",2020-06-01 16:35:00-04:00,TSLA,"{'negative': 0.006285333, 'neutral': 0.9927141, 'positive': 0.001000593}"
1261213,"Wedbush Maintains Neutral Rating On Tesla, Says 'We continue to believe EV demand in China is starting to accelerate with Tesla competing with a number of domestic and international competitors for market share'",2020-06-01 15:23:00-04:00,TSLA,"{'negative': 0.0021598851, 'neutral': 0.975299, 'positive': 0.02254122}"
1261214,Wedbush Says 'Battery enhancements and China remain key to the Telsa story',2020-06-01 15:22:00-04:00,TSLA,"{'negative': 0.0020280431, 'neutral': 0.99547714, 'positive': 0.0024948488}"
1261215,"Wedbush Says 'SpaceX Success Further Elevates Musk and Tesla Brand'; Says While Tesla And SpaceX Are Separate, 'from a consumer perspective the Musk DNA remains the linchpin to both of these next generation technology stalwarts'",2020-06-01 15:21:00-04:00,TSLA,"{'negative': 0.002119875, 'neutral': 0.9805233, 'positive': 0.01735685}"
1261216,"Tesla Shares Spike, Hitting Session High Of $886.6 After Wedbush Note Rumors",2020-06-01 14:44:00-04:00,TSLA,"{'negative': 0.0020942753, 'neutral': 0.9922462, 'positive': 0.0056596193}"
1261217,"Watching Teslare Shares As Hearing Wedbush Publishing Note On Space X Launch, Battery Announcement",2020-06-01 14:43:00-04:00,TSLA,"{'negative': 0.0033084145, 'neutral': 0.9958187, 'positive': 0.0008728685}"
1261218,PreMarket Prep Stock Of The Day: Tesla,2020-06-01 13:03:00-04:00,TSLA,"{'negative': 0.0020358022, 'neutral': 0.9968567, 'positive': 0.0011075033}"
530563,WHO Head Tedros Says WHO Wishes To Continue Its Relationship With US,2020-06-01 11:43:00-04:00,FXI,"{'negative': 0.001854612, 'neutral': 0.9950982, 'positive': 0.0030472064}"
530564,Hearing China Has Told Firms To Halt Purchases Of Major US Farm Products,2020-06-01 11:27:00-04:00,FXI,"{'negative': 0.17233004, 'neutral': 0.8261806, 'positive': 0.0014893283}"
530565,"China Says it Will Use the Island of Hainan for Free Trade, Free Investment and Free Cross-Border Capital Flow",2020-06-01 08:21:00-04:00,FXI,"{'negative': 0.0018228857, 'neutral': 0.99009246, 'positive': 0.008084669}"
530566,"China Will Facilitate Free Trade, Free Investment, Free Cross-Border Capital Flows In Hainan",2020-06-01 08:19:00-04:00,FXI,"{'negative': 0.0022211762, 'neutral': 0.9695285, 'positive': 0.028250353}"
1261220,"NASA Astronauts Launched By SpaceX Reach International Space Station, Celebrate Historic Moment",2020-06-01 08:07:00-04:00,TSLA,"{'negative': 0.0014359157, 'neutral': 0.95992005, 'positive': 0.038644042}"
530567,"Xi Stresses High-quality, High-standard Construction of Hainan Free Trade Port",2020-06-01 07:08:00-04:00,FXI,"{'negative': 0.0026358683, 'neutral': 0.9793982, 'positive': 0.01796606}"
530568,"China Asks State Firms to Halt Purchases of U.S. Soybeans, Pork",2020-06-01 06:45:00-04:00,FXI,"{'negative': 0.087228306, 'neutral': 0.9116471, 'positive': 0.001124598}"
1261223,"Elon Musk's Baby Has A Nickname, Grimes Reveals",2020-06-01 05:54:00-04:00,TSLA,"{'negative': 0.0033088773, 'neutral': 0.9958525, 'positive': 0.0008387354}"
530569,"U.S. Stock Futures Modestly Lower After Weekend of Growing Unrest Over Floyd Death; China Halts Purchases of Some U.S. Farm Imports, Including Soybeans",2020-06-01 05:46:00-04:00,FXI,"{'negative': 0.6967849, 'neutral': 0.30137447, 'positive': 0.0018405948}"
530570,"China Halts Some U.S. Farm Imports, Including Soybeans",2020-06-01 05:42:00-04:00,FXI,"{'negative': 0.105658896, 'neutral': 0.89291835, 'positive': 0.0014226842}"
1261224,Elon Musk's SpaceX Capsule Links Up With Space Station,2020-05-31 10:52:00-04:00,TSLA,"{'negative': 0.0015445607, 'neutral': 0.9962022, 'positive': 0.0022533177}"
530571,China May Official Manufacturing PMI 50.6 vs 51.5 Market Expectation,2020-05-30 21:27:00-04:00,FXI,"{'negative': 0.0031794633, 'neutral': 0.9952245, 'positive': 0.0015961075}"
1261225,American Astronauts Safely Launched into Space Aboard Elon Musk's SpaceX Rocket; Scheduled to Dock With International Space Station on Sunday,2020-05-30 15:51:00-04:00,TSLA,"{'negative': 0.0016177068, 'neutral': 0.99212635, 'positive': 0.0062558837}"
1261226,Tesla's Stock And SpaceX Launches: Are Traders Looking For A Connection?,2020-05-30 14:21:00-04:00,TSLA,"{'negative': 0.0022317139, 'neutral': 0.9966813, 'positive': 0.0010870175}"
530573,'I still expect some sort of retaliation because the Chinese believe they have the upper hand because of our recession caused by a virus that came from their country.' -Jim Cramer Tweet,2020-05-29 15:15:00-04:00,FXI,"{'negative': 0.66052, 'neutral': 0.33734244, 'positive': 0.002137595}"
530574,'President Donald Trump did not say the US is backing out of the Phase One trade deal with China. It appears the trade deal is still intact. #China #Trade' -Edward Lawrence Tweet,2020-05-29 15:06:00-04:00,FXI,"{'negative': 0.0068952227, 'neutral': 0.99174577, 'positive': 0.001358978}"
530575,"Markets Regain Strength, Rally After Trump's Comments On Hong Kong",2020-05-29 14:59:00-04:00,FXI,"{'negative': 0.002820344, 'neutral': 0.9845152, 'positive': 0.012664418}"
530577,Trump Will Directly Sanction PRC Officials As Consequence Of China's Hong Kong Move,2020-05-29 14:58:00-04:00,FXI,"{'negative': 0.8469113, 'neutral': 0.15170802, 'positive': 0.0013807013}"
530576,Trump To Revise State Dept.'s Travel Advisory For Hong Kong,2020-05-29 14:58:00-04:00,FXI,"{'negative': 0.014359785, 'neutral': 0.9845792, 'positive': 0.0010609892}"
530579,Trump Says Admin. Will Begin Process To Eliminate Policy Exemptions Giving Hong Kong Special Treatment,2020-05-29 14:57:00-04:00,FXI,"{'negative': 0.023195086, 'neutral': 0.97540534, 'positive': 0.0013995151}"
530578,Trump Says Investment Firms Should Not Expose Clients To China Risk,2020-05-29 14:57:00-04:00,FXI,"{'negative': 0.48194227, 'neutral': 0.515579, 'positive': 0.0024787567}"
530580,Trump Says Hong Kong Is No Longer Sufficiently Autonomous To Merit Special Treatment From U.S.,2020-05-29 14:56:00-04:00,FXI,"{'negative': 0.4025798, 'neutral': 0.59541607, 'positive': 0.0020041177}"
530583,Trump Says Will Suspend Entry Of Certain Nationals From China Who Have Been Identified As Security Risks,2020-05-29 14:55:00-04:00,FXI,"{'negative': 0.82719225, 'neutral': 0.17130113, 'positive': 0.0015066933}"
530582,Trump Says He Is Instructing Working Groups To Study Differing Practices Of Chinese Companies Listed On U.S. Stock Markets,2020-05-29 14:55:00-04:00,FXI,"{'negative': 0.0064654266, 'neutral': 0.99269086, 'positive': 0.00084376294}"
530581,Trump Says China's Actions On Hong Kong Is A 'Plain Violation' Of Treaty,2020-05-29 14:55:00-04:00,FXI,"{'negative': 0.9379248, 'neutral': 0.060898498, 'positive': 0.0011766662}"
530585,Trump Terminating US Relationship With WHO,2020-05-29 14:53:00-04:00,FXI,"{'negative': 0.88661385, 'neutral': 0.11176337, 'positive': 0.0016228533}"
530584,Trump Says Funds Given To WHO Will Be Directed To Other Global Causes,2020-05-29 14:53:00-04:00,FXI,"{'negative': 0.009810592, 'neutral': 0.9890604, 'positive': 0.0011290496}"
530586,Trump Says China Has Total Control Over WHO,2020-05-29 14:52:00-04:00,FXI,"{'negative': 0.002969801, 'neutral': 0.9955841, 'positive': 0.0014461359}"
530588,Trump Says China Was Able To Get Rid Of Theft Because Of Past Politicians,2020-05-29 14:51:00-04:00,FXI,"{'negative': 0.044121098, 'neutral': 0.95239884, 'positive': 0.0034800903}"
