Word,Label
PRODUCTS,1
TRAINER,1
EXPECTATION,1
WINGING,1
MATURE,1
FOGGY,1
COMPETITION,1
PERISH,1
INCLUSIVE,1
REALITY,1
NICKEL,1
ROCKED,1
GREAT,1
POLISH,1
POSITIVE,2
ACCOUNTING,1
PROMISE,1
MEN,1
SLIPPED,1
ROSE,1
EXEMPLIFIES,1
SERENDIPITY,1
FANCY,1
DREAMER,1
SELECTION,1
TIE,1
BETWEEN,1
DOUGH,1
RENEWAL,1
COMMODITY,1
MUDDLED,1
NINE,1
RIFLE,1
DESIGNER,1
CONSULTANT,1
BUTTON,1
LIGHT,1
NEWSLETTER,1
CAKE,1
WAVING,1
SANK,1
FLOATING,1
HULL,1
OLDEST,1
KICK,1
LESSON,1
TRANSACTION,1
HORRID,1
COPY,1
SCATTERING,1
METHINKS,1
OWNER,1
WON,1
THREE,1
CAPITAL,1
LAWSUIT,1
CONSTRUCTING,1
DRESSING,1
SLAUGHTER,1
ASSAULT,0
LUMBAR,1
STUCK,1
ROCKY,1
CAPITALISM,1
SANDBAG,1
HUNT,1
PLEASURE,2
SCIENCE,1
WAVE,1
SIEGE,1
BLAZING,1
ERA,1
BIRTHDAY,1
STOPPED,0
MAKING,1
FLOCKING,1
UNTEACHABLE,1
LAKE,1
RESTRUCTURING,0
FOOD,1
INSTEAD,1
EXTORTION,1
JUMP,1
DOLLAR,1
SHOCKING,1
GRAVEYARD,1
ATTRACTS,1
WHERE,1
TIGHTENING,0
DOUBT,0
BRIGHTER,1
CHRISTIAN,1
DEPENDENCE,1
RECONSTRUCTION,1
WAKING,1
HAZE,1
CALAMITY,0
BARRED,0
SEA,1
TRANSITION,1
TRANSLUCENT,1
AMATEUR,1
WRAPPED,1
VALUE,1
DROWNING,1
GAP,1
HELPED,1
ASH,1
RAG,1
OPERATION,1
MUSCULAR,1
BREWING,1
CROSSED,1
FIG,1
SAIL,1
TELECOM,1
SLEEPY,1
SUED,0
EPSILON,1
EMERGES,1
JEOPARDIZED,0
UNBIASED,1
SET,1
RESTORE,1
NOTCH,1
EVANGELIST,1
BILLY,1
SUSTAINABILITY,1
ORIGINAL,1
DEBATE,1
CHAMPION,1
MARATHON,1
TACKLE,1
DEALMAKING,1
CONTRACTS,1
OWE,1
RULE,1
SEEN,1
CHASING,1
DOMESTIC,1
INTOXICATION,1
DINNERS,1
PROLIFERATION,1
DUG,1
OPENED,1
PROSPER,1
OVAL,1
PHILOSOPHER,1
GIFTED,1
HON,1
CLUNG,1
FROST,1
PROPERTY,1
PREPARES,1
HORRIBLE,1
CROSSFIRE,1
BASE,1
BRINK,1
PLEASE,1
STAKE,1
VIRTUAL,1
VERSA,1
CLINKING,1
UNUSUALLY,1
UNSTABLE,0
FLOGGING,1
FIELD,1
EXPLOSION,1
DRINKING,1
TIPPLER,1
WOES,1
TIDE,1
CLEANER,1
ELECTRIC,1
CONQUEST,1
FIERCELY,1
SPLITTER,1
PHOTO,1
FIERY,1
TOTAL,1
PROJECT,1
SHIPPING,1
NOTICED,1
EMBLEM,1
JUDICIAL,1
HANDSOMELY,1
THAT,1
PHASE,1
SCUFFLE,1
GRID,1
STUMP,1
ELBOW,1
INCENTIVE,1
SCOURGE,1
CARRY,1
EDDY,1
ACROSS,1
EYE,1
BARE,1
NUT,1
SALE,1
ISSUE,1
SUCCESSFUL,2
NURTURED,1
PULLING,1
STUFF,1
LINGUISTIC,1
MARK,1
ALTERNATIVE,1
SUBTRACTED,1
KNOCKING,1
TISSUE,1
DWELLING,1
LOBBY,1
SPRUNG,1
INVISIBLE,1
GROWS,1
LICK,1
CHEAPER,1
SPEAKS,1
AXE,1
EXTREMELY,1
COLOSSAL,1
LEAVING,1
SHIPPER,1
DIOXIDE,1
DRAWN,1
CHECK,1
STOP,1
TRADING,1
WARMING,1
UNCHANGING,1
INTENSELY,1
INCONVENIENCE,0
MEANING,1
LOSES,0
CRAFTY,1
NEST,1
ELECTRONIC,1
FLEXIBILITY,1
CROSSING,1
BUBBLE,1
SOOTY,1
EXCHANGE,1
CARELESS,0
INK,1
SOON,1
STARTING,1
TOXIC,1
GOING,1
UNHEALTHY,1
LOAD,1
DRIVERS,1
ATTEMPT,1
CARS,1
IMPROVED,2
NORTHERN,1
INEXORABLE,1
MEDICAL,1
STUMBLED,1
HIRING,1
UPHEAVAL,1
HOMEOPATH,1
CUSTOMER,1
FARE,1
SHOUT,1
FEARLESS,1
PIVOTAL,1
SENDS,1
DOCTOR,1
JOINED,1
STABLE,2
LAWMAKER,1
DELIGHTFUL,2
UNDERGOING,1
SNAP,1
SITE,1
CLEANING,1
TAIL,1
VACANT,1
CONTAINER,1
WHO,1
RICKSHAW,1
CONVENTIONAL,1
MYSTIC,1
THICKER,1
DOSE,1
CHOOSING,1
BARREL,1
SUPERVISOR,1
VENTILATOR,1
SUE,0
MOVIE,1
STORMY,1
DROP,1
STATUS,1
OUTLET,1
PERIPHERY,1
PUT,1
ACCUSED,0
BEYOND,1
RATIFICATION,1
LEARNING,1
SUPERCOMPUTER,1
DIRECTION,1
SECRETIVE,1
ROUTE,1
DID,1
MONSTER,1
TRUE,1
SCENARIO,1
PASSED,1
FREE,1
TSUNAMI,1
GAMBLE,1
STITCHED,1
DECORATION,1
CONCRETE,1
WARY,1
EXAGGERATED,0
TOWARDS,1
BILL,1
INVENTED,2
CONUNDRUM,1
LOOKING,1
WEIGH,1
DESERT,1
OFFICE,1
NOVEL,1
BIKE,1
LIMBO,1
BUFF,1
HOPE,1
WHODUNNIT,1
FLOW,1
SURVIVING,1
GAZING,1
RECKONS,1
LOOMING,1
DIGNITY,1
WATCHMAKER,1
CAUSED,1
SAILING,1
PRICES,1
CURE,1
PACKING,1
CLEAR,1
MAX,1
HEIR,1
MIXED,1
CLICKED,1
BEDEVILLED,1
RIVALS,1
INDISPENSABLE,1
ADD,1
UNCLE,1
LEADERSHIP,2
POCKETS,1
SUPPLYING,1
UNLOCKING,1
FOLLOW,1
BAND,1
FAMOUS,1
IS,1
BLACKLIST,1
UNHAPPINESS,1
BOW,1
APPROACH,1
CHEST,1
SALESFORCE,1
LOGGING,1
EVERYWHERE,1
VIRGIN,1
CHECKPOINT,1
PREYING,1
MANUFACTURING,1
REVIVAL,1
BOYCOTT,0
SPORTSWEAR,1
SOLUTION,1
SURPRISING,1
FETCH,1
BILLIONS,1
WAGONER,1
FORMATION,1
JUSTICE,1
SEAT,1
REPORTING,1
CHIPMAKER,1
DAY,1
TOP,1
ARTIST,1
PRIMARY,1
LIP,1
LATER,1
INVERSE,1
BUMP,1
DIVERSITY,1
ROT,1
GROUP,1
DAD,1
FRET,1
WIN,2
CRACKDOWN,1
BUDGET,1
MELTDOWN,1
CURSE,1
PRODUCT,1
HORSE,1
CHEAPEST,1
FITTING,1
LOAFING,1
AMISS,1
SPROUT,1
INVENTIVE,2
DREAM,2
BE,1
COUPLE,1
FASHIONED,1
FIDELITY,1
TALENTED,1
POSE,1
JET,1
BOTH,1
YOUNG,1
ANALYSE,1
STORE,1
DIRTY,1
TRAIL,1
IRRATIONAL,1
SAME,1
PRIZE,1
TWIST,1
LOWER,1
SWINGING,1
SUGAR,1
INCREASING,1
RESOURCEFUL,1
SEE,1
HARK,1
AIRPORT,1
SHOWDOWN,1
LETTING,1
BEGGAR,1
VAPOUR,1
FREEZE,1
TWICE,1
ADVISING,1
CONTRACTOR,1
BOTTOM,1
RUIN,1
BIG,1
RECOVERY,1
LAWYER,1
BEEF,1
ROOF,1
COMMERCIAL,1
STAGE,1
COMING,1
IGNORING,0
BEST,2
ENFORCE,1
LOG,1
APART,1
MOAN,1
CORPORATE,1
MUG,1
PODCASTING,1
SHELF,1
OVERSEAS,1
ILLUSTRATE,1
ROUT,1
EMPLOYER,1
UNDERSTANDING,1
CODE,1
MILLIONAIRES,1
REALISTIC,1
INFORMATION,1
BLOODHOUND,1
BITTER,1
SELL,1
MAINTAIN,1
SQUEEZING,1
STONEWALL,1
AGAIN,1
TAKEOVER,1
MILLENNIUM,1
CONFLICT,0
PENALTY,0
SURVIVOR,1
ANONYMOUS,1
RECAST,1
OVERGROWN,1
SUNSPOT,1
GREEDY,1
BUZZ,1
THYSELF,1
DELIVERER,1
INNOCENCE,1
THOUSAND,1
MAKE,1
CAR,1
PARTICULARLY,1
MALADY,1
HOLY,1
TOWN,1
SANCTION,1
BLUNDER,1
MOOD,1
ANACHRONISM,1
NETWORK,1
LINKING,1
UNDERMINED,0
WATERING,1
SEASON,1
ADRENALIN,1
RISKY,0
TEACHING,1
BINDING,1
INNOVATION,2
COMMISSION,1
HONEY,1
MATCHMAKING,1
QUIT,0
CREATION,1
CHALLENGES,0
WHOLE,1
ENDING,1
TEA,1
BECAME,1
DIP,1
RANSOMWARE,1
FREAK,1
SPUR,1
REFORM,1
OVERTAKING,1
REMEMBER,1
ROUTINE,1
IMPACT,1
TEMPLE,1
KEY,1
FED,1
WRITTEN,1
LEFTOVER,1
BLOWING,1
OFFER,1
ONLINE,1
BUBBLING,1
FALL,1
CONCENTRATED,1
VOTE,1
WHIZZ,1
REPLY,1
PRO,1
COLLECTORS,1
ENCOURAGING,2
GULF,1
CONVENTION,1
BALANCING,1
TWITCHING,1
CELEBRATES,1
CEMENT,1
WOE,1
POND,1
INFINITE,1
DOCKETING,1
TIME,1
COERCED,0
PART,1
CONTAMINATION,1
FIREBRAND,1
SMARTPHONES,1
ATTACKER,1
BLOCKCHAIN,1
SEEK,1
AFAR,1
LOSS,0
TIRELESS,1
INTRODUCTION,1
RELISH,1
LOCUS,1
UTILITY,1
ALUMINIUM,1
AROUND,1
UNREST,0
UNDERGO,1
CRACKED,1
OUTSOURCERS,1
DEVELOPMENT,1
WALKING,1
SYMPATHY,1
MISSION,1
TWINKLED,1
AFFAIR,1
CLAW,1
RIDERLESS,1
VANISHING,1
GUARD,1
BRILLIANT,2
UNITY,1
DOWNTURN,0
STREET,1
TO,1
LEGALLY,1
CHOICE,1
GLOOMY,1
ROWING,1
MARGINAL,1
AND,1
NOISE,1
ABANDON,0
ANYMORE,1
HYPOCRISY,1
COW,1
BRIDESMAID,1
DISENGAGEMENT,1
PICTURE,1
VALUABLE,2
DOOR,1
REFUGEE,1
HIS,1
RIVALRY,1
IDLE,0
WEDDING,1
BLUE,1
VOLATILE,0
CHEMICAL,1
SQUEEZE,1
INTERVENES,1
DECLINING,0
TRUTH,1
SOUTH,1
JUST,1
THEATRICAL,1
CHAOS,1
FLOCK,1
KNICKERS,1
PRODUCER,1
BOTTOMLESS,1
MISSILE,1
CONSOLE,1
PRODUCING,1
TRICK,1
OBSERVED,1
WAYS,1
SOUND,1
PATHWAY,1
POURING,1
BALL,1
NUPTIALS,1
RULER,1
QUOTA,1
UPSETTING,1
HEADPHONE,1
HONOUR,1
CIVIL,1
PROFILE,1
EMERGE,1
OUTWEIGH,1
BETTER,2
UPON,1
LUMEN,1
BLUEPRINT,1
TRADITION,1
WASH,1
SORDID,1
WHEEL,1
BUNDLE,1
ATOM,1
WANNABE,1
SALES,1
BARGAIN,1
SACK,1
WOLF,1
BROKEN,1
DESTROY,0
EDUCATION,1
DIAL,1
THING,1
RESPONSE,1
FICTION,1
SUCCESSION,1
BORDER,1
FUTURE,1
LOGISTICS,1
DEMOGRAPHIC,1
RECKON,1
DISGRACE,0
FACTOR,1
UNSUSTAINABLE,0
INJECTABLE,1
STOCK,1
THANKSGIVING,1
VISTA,1
PROTECTION,1
CORRUPTION,0
SMOKE,1
DEEPLY,1
INDICTMENT,0
NUMBER,1
STRESS,0
FOX,1
SMOOTHER,1
RISE,1
PAS,1
IMPERIAL,1
DARKER,1
FALLEN,1
DRAIN,1
SALT,1
BITCH,1
SENSE,1
HEADQUARTERS,1
REBIRTH,1
INIQUITY,1
MINE,1
OUTDATED,0
REAP,1
CUSTOMERS,1
CATGUT,1
BULLSHIT,1
TOUCHED,1
COMPLY,1
STILL,1
STYLE,1
SPINE,1
NATURE,1
GENESIS,1
CRACKLE,1
HELLO,1
SUBSCRIPTION,1
ARRESTED,0
TUB,1
FAILS,0
SCHOOL,1
HOLDING,1
MUSEUM,1
GROW,1
ONE,1
OMISSION,0
ROYALTY,1
BRAIN,1
HUNTER,1
HEATING,1
BAKSHEESH,1
KINGDOM,1
SPREAD,1
FRATERNITY,1
WARFARE,1
CULT,1
PRIME,1
FLYING,1
DEDICATED,1
WHISTLE,1
EASE,1
SHELL,1
FLIRTING,1
BAG,1
TAPPED,1
AREA,1
FRIGHT,1
EMPOWERMENT,1
SUPERHUMAN,1
HUMBLER,1
MILE,1
GRANULE,1
FLUSH,1
SICKNESS,1
DEVELOP,1
ATTRACTION,1
PURE,1
DISTRUST,1
OVERPRICED,1
REMOVAL,1
WIELD,1
ARTIFICIAL,1
CREDENTIAL,1
BUT,1
IDENTIFYING,1
ILLEGAL,0
REWARDED,2
RELIEF,1
FORK,1
GENDER,1
RECEPTION,1
BITING,1
BACKSIDE,1
SWAP,1
DANCING,1
FLED,1
GUTTERING,1
SWALLOW,1
LEGAL,1
NASAL,1
ROUGHER,1
FOUNDER,1
PLEAD,0
TOURNAMENT,1
TIGHTER,1
RIDE,1
SLOWING,0
CONSUMER,1
CONQUISTADOR,1
KINDER,1
MULTINATIONAL,1
FLOPPY,1
AMBITIONS,1
SETTLER,1
MEDIATOR,1
CHECKING,1
UNMOVED,1
SILENT,1
CRACK,1
MADMAN,1
INFOMERCIAL,1
WASTED,0
EMBROILED,1
SUPREMACY,1
MOUNT,1
PUFF,1
OVERSIGHT,1
BRANCH,1
BURGHER,1
BOOK,1
TOY,1
COUGH,1
XI,1
DEVICE,1
RESERVATION,1
TYRANNY,1
IDEA,1
RIDING,1
CHAIN,1
QUANTUM,1
STATION,1
GRAVITY,1
NEAT,1
CRADLE,1
READY,1
DISORIENTATION,1
TRUCK,1
RAIL,1
BARLEY,1
PRETTY,1
PUBLICIST,1
PURSUED,1
LEAD,1
CONTUSION,1
WOBBLY,1
BRIM,1
TOWEL,1
DIFFERING,1
SHOOTS,1
RHAPSODY,1
TRAIN,1
CREPT,1
CONTRACTION,0
ROUNDING,1
FORTHCOMING,1
GLASS,1
TASTE,1
BRAINSTORMING,1
TREADMILL,1
RESEARCH,1
MISSPEAK,1
INTERNATIONAL,1
WASTEFUL,0
TROPHY,1
STUDY,1
MATRIMONY,1
GEM,1
LIVE,1
VICTORY,1
IRRESISTIBLE,1
EASY,2
UPWARDS,1
BETHINK,1
BELIEF,1
OFTEN,1
SCRAP,1
HUNTING,1
OPERA,1
BATTERY,1
WATCH,1
MEASURE,1
WAGING,1
REMORSE,1
MENSTRUAL,1
ANOTHER,1
THREATENS,0
RECONSIDER,1
PURCHASE,1
BATH,1
TABLET,1
WORTH,1
SALVE,1
DYNASTY,1
INVITED,1
CORE,1
OILY,1
RETAILER,1
SMILE,1
DRIVE,1
EMPLOYEE,1
REVOLVING,1
JAPAN,1
CLASH,1
BEETLE,1
REDUCING,1
SHINE,1
EXASPERATED,1
INTENSIFIED,1
UNSHEATHED,1
WRONG,0
MOVEMENT,1
DEFERRED,1
SEVEN,1
REGULATION,1
SUCCEED,2
WARRIOR,1
DEFY,1
EQUAL,1
RESCUE,1
COURTING,1
EFFICIENCY,2
READERS,1
PENNY,1
TIRED,1
PREVENT,1
CLICK,1
GIN,1
FLAGGED,1
ANT,1
AGREE,1
VIDEO,1
TURNING,1
HOLE,1
PLANE,1
RESCUED,1
WEALTH,1
COMEBACK,1
PRIZED,1
EXCLUSIVE,2
ENJOY,2
GOLF,1
BLOT,1
FLAME,1
WIDER,1
COMEDIAN,1
LEAGUE,1
CONSULTING,1
HARD,1
POSTAL,1
BILLBOARD,1
GENERAL,1
OVERPAYMENT,0
UNSHACKLING,1
SHRUG,1
JOB,1
TECHNOLOGY,1
SOME,1
NATIONAL,1
RECRUIT,1
CLIP,1
OATH,1
CONNECT,1
PUSHING,1
ACCIDENTAL,0
SURVIVE,1
AUTOCRAT,1
VARIES,1
SORREL,1
ASSUMING,1
HURT,0
ATROPHYING,1
STRANGLE,1
HELPING,1
AS,1
ALLEGATION,0
PICKING,1
LOGIC,1
OWNS,1
ELECTRICITY,1
APPROVED,1
REED,1
INVENTOR,2
SPARKLING,1
SPECIAL,1
POTHOLE,1
CREAMY,1
IT,1
TRUTHFUL,1
DEPENDING,1
TOE,1
HARDER,1
FIRM,1
EAR,1
FLOOR,1
TIMED,1
MAVERICK,1
CLIMB,1
COMBINATION,1
TERM,1
FABRIC,1
PERSUADED,1
NOVO,1
SPIN,1
SMASHING,1
WEIRD,1
PRODUCTION,1
SYLLABLE,1
SHOOK,1
INVITING,1
FLAW,0
BELEAGUERED,1
FANTASTICALLY,1
LOOTED,1
SUDDENLY,1
MASTERED,1
FLAMING,1
BLOCK,1
PARADISE,1
STEM,1
BREAKING,1
RECOGNITION,1
SPONSOR,1
ALWAYS,1
SHUDDER,1
PARDON,1
FIRED,0
SHAME,1
LAB,1
RECREATIONAL,1
RINSED,1
CONSCIOUS,1
WEALTHIER,1
WHIP,1
DATA,1
DEEPWATER,1
FUN,1
SECRET,1
IRRITATION,1
WEAKENS,0
PER,1
EMISSION,1
AVALANCHE,1
STRIKING,1
HERD,1
SHARE,1
LOCALLY,1
ECONOMIC,1
BORDERLESS,1
DOMINATE,1
INROAD,1
RELIANCE,1
DUEL,1
SPENDING,1
REMARKING,1
SOONER,1
ORACLE,1
ANGER,1
HOLD,1
GOVERNMENT,1
COMPENDIUM,1
OH,1
ENTERPRISE,1
PUNISH,1
AGRICULTURE,1
WEAK,0
SUPERVISING,1
FACING,1
CONSOLIDATION,1
ACQUITTAL,0
COMPLEX,1
REDRESS,0
SICKLY,1
TRAVAIL,1
STREAK,1
HEALER,1
ENVIRONMENTAL,1
HOMEBODY,1
IDOL,1
PIT,1
AUGUST,1
INSURED,1
WANDERS,1
RUDE,1
WASTE,1
FORCING,0
MELON,1
SLIPPER,1
WRITE,1
TURNOVER,1
UNEXPECTED,0
ACTIVIST,1
POT,1
SHIMMERING,1
REFRESHED,1
TURMOIL,0
RELEASE,1
DINGY,1
SUPERPOWER,1
DISPATCH,1
MAR,1
BARTERING,1
CRITICISM,0
SOUR,1
CALLING,1
COMMON,1
POWERFUL,1
WILDEST,1
RUN,1
TRICKLE,1
CRUTCH,1
ACCESS,1
OWNED,1
HAT,1
HEADING,1
HIRED,1
SWIFT,1
REACHING,1
MERCHANT,1
INVESTMENT,1
HAIL,1
BROUGHT,1
BIAS,1
WEAR,1
CREATES,1
PACE,1
CONSTERNATION,1
RECKONING,1
KILL,1
FINGER,1
SILENCE,1
LOWERED,1
INSTINCT,1
LEATHER,1
PUMP,1
PAVED,1
OPPORTUNITY,2
UGLY,1
SCOTCH,1
YOU,1
CROWN,1
TRANSFIGURATION,1
EASTERN,1
ENTERS,1
PARLIAMENT,1
REMARKABLE,1
CRAFT,1
BELATED,1
POLICE,1
DEATH,1
RUSTLE,1
BUSINESS,1
MODEL,1
CUTTING,1
PYRAMID,1
SUPPLIER,1
SETTLED,1
HIM,1
UNEMPLOYMENT,0
WEIGHT,1
HIGHLY,1
LEADING,2
SENTENCED,0
SHRINKING,1
RELEVANT,1
PIONEER,1
BURLESQUE,1
FRAUD,0
REFERABLE,1
TICKING,1
CURSED,1
JAM,1
SEARCH,1
CARTER,1
MYSTERY,1
HART,1
CON,1
BOOMERANG,1
SOFT,1
ETHIC,1
RESPOND,1
ALIKE,1
GLOBE,1
FIT,1
EFFORT,1
CHEMISTRY,1
LIABILITY,1
FLATTERY,1
MARVEL,1
SHOCKED,0
BIOSIMILARS,1
DESK,1
RESISTING,1
QUITS,1
BENEATH,1
BACKWATER,1
FOR,1
CHANCE,1
INVESTIGATE,0
SIGNAL,1
BLOWOUT,1
INVADE,1
CARAVAN,1
RACIAL,1
STRATEGICS,1
POPE,1
GUEST,1
RADICALLY,1
FIVE,1
WEATHER,1
MADCAP,1
HEALTH,1
SHAKE,1
CROSSROAD,1
CONCLUDE,1
FIGHTING,1
FALSE,0
EXISTS,1
MOTORIST,1
HORIZON,1
LOVERS,1
MOTORCYCLE,1
DARLING,1
INTERTWINED,1
EXPANDING,1
QUEEN,1
TYPE,1
WAY,1
NEWS,1
NIGHT,1
EXIT,1
FEEL,1
GULLY,1
SHAH,1
TINY,1
LOVING,1
SALVAGING,1
SUSPECTED,0
LAY,1
SPELL,1
OVERBOARD,1
SETTLEMENT,1
WALK,1
SPARED,1
PROTECTIONIST,1
REBOUND,2
HOT,1
EMPIRE,1
CHATEAU,1
THREATEN,0
UNLOCKED,1
DROUGHT,0
YET,1
CUDDLIEST,1
TACTICAL,1
SPARE,1
LIFT,1
PLUNGING,1
BELIEVING,1
CHARACTER,1
BOWED,1
NET,1
SKILL,1
TSAR,1
DEALT,1
FINAL,1
BUSINESSMEN,1
FASTER,1
BLOCKED,1
AFRAID,1
BRIGADE,1
BULK,1
FIND,1
HIT,1
BANISH,1
LITTLE,1
RIP,1
WAR,1
REMOTE,1
BAN,1
PATH,1
ARCTIC,1
FORBIDDEN,0
ABUSE,0
SIPPING,1
DESIGN,1
SEEM,1
HIRE,1
ENJOYING,2
SECRETARY,1
NICER,1
TYING,1
CRITIQUE,1
SOMEWHERE,1
BEWARE,1
PLANET,1
CREATING,1
QUALITY,1
BOND,1
MOTHER,1
PAST,1
CHALK,1
DANGER,0
DEAL,1
VIGOUR,1
LED,1
RUMOUR,1
CONSEQUENCE,1
REALISM,1
CLUTCH,1
INTENT,1
FORM,1
LANGUAGE,1
MOTIVATION,1
INCH,1
SLIPPERY,1
LEFT,1
WAGON,1
RECESSION,0
CYBERCRIME,0
IMPROVEMENT,2
DISSENTER,0
CURL,1
SEEDY,1
OUTWARDS,1
PICKED,1
DISPUTE,0
EXERCISE,1
POKER,1
KNEADING,1
WITHIN,1
PRINCIPLE,1
BOOKMARK,1
PUBLISHER,1
BOLTED,1
PERFECT,2
EXISTING,1
INVASION,1
APE,1
SPLINT,1
CAUTION,0
FEE,1
EXIST,1
SAY,1
CUCKOO,1
BANANA,1
MARKET,1
DELIVERING,1
HORSEY,1
EXCITEMENT,2
TILLER,1
BEE,1
PARITY,1
SUPREME,1
CHAPTER,1
LATEST,1
PITFALL,1
READ,1
PRESIDENCY,1
SWIM,1
RELATION,1
DEARER,1
AVIATION,1
COPE,1
WOODS,1
FREEDMAN,1
SIZE,1
STRIVING,1
OUTRAGEOUS,1
MAN,1
HEAD,1
REGION,1
SUFFERS,0
SORRY,1
TEST,1
ELECTRIFIED,1
THORN,1
ENABLE,2
NATIONALIZING,1
APPRENTICESHIP,1
OVER,1
DIED,1
ELITE,1
REFORMING,1
DIARY,1
PRISON,1
TENDON,1
CLOCK,1
RECORD,1
SETBACK,0
REPAIR,1
INMATE,1
MAXIM,1
MAGAZINE,1
ACCUSE,0
MATCHED,1
MILLION,1
REFUSED,0
COMPETENCE,1
MIXING,1
WASHING,1
DISTRICT,1
LISTING,1
RAIDER,1
WARM,1
QUALM,1
CHEAP,1
FASHIONING,1
KNOW,1
STEALING,1
ASSUMED,1
FIGHT,1
EMBODY,1
JOCKEY,1
HERESY,1
STARTED,1
COUTURE,1
ACCIDENTALLY,0
RELATIONSHIP,1
PENTAGON,1
ASSEMBLED,1
PEN,1
WEST,1
OVERHAULED,1
REMAIN,1
MONEY,1
CREATE,1
ALREADY,1
PUSHED,1
INSPIRE,1
REJECT,0
JOINT,1
YAHOO,1
GOSPEL,1
CENTRE,1
MERGE,1
QUIETLY,1
HYBRID,1
WORKING,1
BROADBAND,1
SHIFTING,1
AMID,1
GEAR,1
IMAGE,1
ANGRY,1
GLOOM,1
THRIVE,1
SATELLITE,1
HOMESPUN,1
TOO,1
SURRENDER,1
BOOTSTRAP,1
DRUGS,1
MANY,1
MOSTLY,1
EXTRACT,1
LEE,1
AFTERLIFE,1
LEGEND,1
JUNGLE,1
ABACK,1
ROW,1
REDEMPTION,1
RAW,1
GROWING,1
NOBODY,1
COLLAPSE,0
RATING,1
FRIEND,1
RECREATION,1
VEHICLES,1
PLAN,1
TRADER,1
ADMITS,1
BLACKOUT,1
FOREHEAD,1
